instance,rolling_acc,active_real_acc,active_pred_acc,active_real_div,active_pred_div,pool_real_acc,pool_real_div,K,lambda,drift_count,n_swapped,mean_margin,mean_A_inst,mean_C,mean_w,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
500,0.61,0.36680000000000007,0.3858414249406072,0.34523218390804594,0.2974620689655172,0.3580285714285714,0.3592521739130435,15,0.75,0,0,0.503790635773044,0.3691860519447218,0.37503746353260303,0.3769880838328608,0,0,,,,,0
1000,0.65,0.3906333333333334,0.4534210371739605,0.3630505747126437,0.32790287816091945,0.3869714285714286,0.36817225672877846,15,0.75,0,0,0.39290743730661243,0.5344018027647628,0.395083769533615,0.42033482591959487,0,0,,,,,0
1500,0.67,0.39030000000000004,0.3263395437198877,0.3648114942528735,0.3509074052413792,0.3862857142857143,0.36964223602484475,15,0.75,0,0,0.6172181716303815,0.3807753056136329,0.43323772816665,0.3654651047891532,771,196,0.5289831031180597,0.9726930934856683,0.1632327686753241,0.749758951913171,9647
2000,0.69,0.39189999999999997,0.4023859013147203,0.3667701149425287,0.36802567654105733,0.3877571428571428,0.3715093167701863,15,0.75,0,0,0.5029938469087536,0.28536603477564587,0.34668845930997505,0.36756490967256805,1529,379,0.530514258249124,0.9743392401574629,0.1501196605427593,0.7374137886912342,17960
2500,0.74,0.39420000000000005,0.5761165696796778,0.3683080459770115,0.37428907666443756,0.38952857142857145,0.37294451345755697,15,0.75,0,0,0.5272089393639461,0.45906278991087884,0.4456118040988404,0.49940997467440335,2194,565,0.5257277791532978,0.9737338739226594,0.14852803237079087,0.7349710151751986,27147
3000,0.63,0.3944666666666667,0.4556381849793967,0.3705379310344827,0.39929853598782417,0.38987142857142865,0.37449482401656314,15,0.75,0,0,0.29820055651662064,0.5021284237844013,0.34793751881013185,0.3789460339180975,2823,735,0.5215023946875132,0.9718521929748627,0.1460791838205246,0.7325817460367344,35981
3500,0.63,0.3949666666666667,0.3615639441048473,0.3714735632183908,0.41579584464140285,0.39064285714285724,0.3750612836438923,15,0.75,0,0,0.27766662337406384,0.13332264377232356,0.15365790358847425,0.22856075133205705,3250,854,0.5214998181246936,0.9703536600052045,0.13197140095852117,0.7223890440712554,42769
4000,0.72,0.3982666666666666,0.586360483410378,0.37378850574712646,0.42693723797363947,0.39409999999999995,0.3768459627329193,15,0.75,0,0,0.30975870745299255,0.5596524821680764,0.3626814686174854,0.44797370254955454,3772,1005,0.5187054248259239,0.9677443246541882,0.12714081170519434,0.7197643449036649,50930
4500,0.73,0.40063333333333334,0.548342640760803,0.37545057471264365,0.43204865988933616,0.3966,0.37822774327122155,15,0.75,0,0,0.42527705553441,0.5028149400019967,0.3948124408021623,0.45181434637922113,4407,1184,0.5167705714401142,0.9664671193187385,0.12553531676059626,0.7201723600288639,60601
5000,0.72,0.40143333333333325,0.6149453351621988,0.3761862068965517,0.4405594242081675,0.3974428571428572,0.3786886128364389,15,0.75,0,0,0.5841483858643983,0.5946469344204143,0.5620034127217026,0.5711319041296213,4664,1280,0.5121941366541268,0.9655356294065166,0.11767181486564827,0.7156440499776767,69283
