instance,rolling_acc,active_real_acc,active_pred_acc,active_real_div,active_pred_div,pool_real_acc,pool_real_div,K,lambda,drift_count,n_swapped,mean_margin,mean_A_inst,mean_C,mean_w,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
500,0.91,0.7647999999999999,0.7681989479308197,0.24879080459770117,0.2394310344827586,0.7541428571428571,0.2406666666666667,20,0.5,0,0,0.8202163703376514,0.7710290787486288,0.7715584025072075,0.7660731148069745,0,0,,,,,0
1000,0.94,0.7565666666666666,0.7186180976990583,0.27501839080459767,0.2540737777777776,0.7406285714285713,0.2779287784679089,20,0.5,0,0,0.7922809502426272,0.8995682197695138,0.7952424500615417,0.7467836916221462,0,0,,,,,0
1500,0.92,0.7574,0.7203617750357592,0.27658850574712646,0.25919553961685815,0.7413857142857143,0.27941242236024844,20,0.5,0,0,0.7581362181223235,0.7101185632097511,0.6860507610719014,0.6903609766352657,384,200,0.24855212735842314,0.9523249859941023,0.0032080699991695284,0.8331035474007884,15673
2000,0.94,0.7576666666666669,0.7201116679436157,0.27605057471264366,0.24491973927233712,0.7417714285714284,0.2786128364389234,20,0.5,0,0,0.680747340505049,0.7549933343354552,0.6586836040705404,0.6740751458309334,833,426,0.2656607602159156,0.9528846733367087,0.014333577907202561,0.841045455155198,31778
2500,0.95,0.7576,0.6830411244533884,0.2770390804597701,0.23812132278946807,0.7418428571428569,0.2793552795031056,20,0.5,0,0,0.763398962387893,0.715215537909353,0.7304442320548498,0.6904679287509001,1273,651,0.2668341869730952,0.9512105694534503,0.019807281148120828,0.845080959524633,49256
3000,0.92,0.7566666666666667,0.8539125973639131,0.27791724137931034,0.28235031956705814,0.7404999999999999,0.280448447204969,20,0.5,0,0,0.7730749339807156,0.8716727828540264,0.7610631077882004,0.8031677853726075,1557,788,0.2780198361493337,0.9494572223709137,0.01741345645307277,0.8412048006355958,63996
3500,0.94,0.7580666666666667,0.7661223449484671,0.2781701149425287,0.29816507808613557,0.7417857142857144,0.2807159420289855,20,0.5,0,0,0.8581503032437164,0.8231223330465163,0.8155352788072566,0.7786200353005175,1755,942,0.2713674501912754,0.9509129669963096,0.025471951345957655,0.8429627127715471,80344
4000,0.73,0.7593,0.7768425916589872,0.27793333333333337,0.2631372648076875,0.7432999999999998,0.2803855072463768,20,0.5,0,0,0.901076934118155,0.7582152137809052,0.7836242006290915,0.7702070494013823,1921,1076,0.2669413118435666,0.9522795586922441,0.027434178870570633,0.8445791085926705,97700
4500,0.74,0.7613000000000001,0.912338823265442,0.27671954022988504,0.23751598740795454,0.7456142857142856,0.27891387163561077,20,0.5,0,0,0.9026775198267759,0.9516552152073064,0.9051700991914493,0.9066908498788763,2090,1208,0.26325839621322616,0.9541673323041485,0.020527482214263627,0.8459968195584205,116595
5000,0.94,0.7606333333333333,0.6289128498657525,0.27680229885057467,0.20087034647241286,0.7448285714285714,0.27909233954451346,20,0.5,0,0,0.8368665337401289,0.6815465965710106,0.7246800138932464,0.6487407210435736,2264,1339,0.2609823993252107,0.9557060338740873,0.013320084437737165,0.8455137014558367,137126
5500,0.95,0.7608333333333334,0.7308902650825365,0.27695402298850574,0.2207346769147579,0.7451000000000001,0.27903561076604555,20,0.5,0,0,0.6259540004036754,0.7832142239360999,0.6311556694528415,0.6687815073117775,2370,1416,0.25965913275811897,0.9555355531850545,0.009764000716284514,0.8437748556125161,155137
