instance,rolling_acc,active_real_acc,active_pred_acc,active_real_div,active_pred_div,pool_real_acc,pool_real_div,K,lambda,drift_count,n_swapped,mean_margin,mean_A_inst,mean_C,mean_w,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
500,0.9,0.7647999999999999,0.7681989479308197,0.24879080459770117,0.2394310344827586,0.7541428571428571,0.2406666666666667,22,0.25,0,0,0.8202163703376514,0.7710290787486288,0.7715584025072075,0.7660731148069745,0,0,,,,,0
1000,0.95,0.7565666666666666,0.7186180976990583,0.27501839080459767,0.2540737777777776,0.7406285714285713,0.2779287784679089,22,0.25,0,0,0.7922809502426272,0.8995682197695138,0.7952424500615417,0.7467836916221462,0,0,,,,,0
1500,0.92,0.7573666666666665,0.7152881647408763,0.27664597701149424,0.2596824361685822,0.7414428571428571,0.2794952380952381,22,0.25,0,0,0.7581462346260517,0.7067581249299456,0.6845261277056436,0.6862948060594461,0,0,,,,,0
2000,0.93,0.7575000000000002,0.6965454927248379,0.27633793103448273,0.2561483222608427,0.7415714285714287,0.27919917184265014,22,0.25,0,0,0.7203670614314287,0.7233118710212539,0.6734142221861935,0.6667515129707887,0,0,,,,,0
2500,0.94,0.7573666666666666,0.67873601017727,0.27743218390804597,0.2575595699251001,0.7414571428571429,0.2803602484472049,22,0.25,0,0,0.7913140426888644,0.7085257213379869,0.7351264396532227,0.6893479200272215,0,0,,,,,0
3000,0.86,0.7563333333333334,0.8095047255576533,0.2785425287356322,0.3010717503763638,0.7401142857142856,0.281624016563147,22,0.25,0,0,0.8452114508282961,0.815003702089531,0.7805982026815417,0.782627819448458,0,0,,,,,0
3500,0.87,0.7578000000000003,0.7874635096082673,0.2787540229885057,0.3124457363328268,0.7410428571428571,0.2825494824016563,22,0.25,0,0,0.7444036226332269,0.8331375753529404,0.7614773733652779,0.7639425053201833,0,0,,,,,0
4000,0.88,0.7588,0.6988315815124834,0.27876781609195406,0.2693908652782694,0.7420857142857143,0.2829689440993789,22,0.25,0,0,0.8860462145447418,0.7082364380415525,0.774083970560854,0.7251815287599127,0,0,,,,,0
4500,0.88,0.7602333333333333,0.8327352664635943,0.2783701149425287,0.2542196250424601,0.7436999999999999,0.2826679089026915,22,0.25,0,0,0.8222679216057746,0.8833333333333333,0.8216036381540063,0.8213977963506095,0,0,,,,,0
5000,0.91,0.7597333333333335,0.6630957069502796,0.2786942528735632,0.26106042043553257,0.7433142857142858,0.28332256728778465,22,0.25,0,0,0.833785959808819,0.7148508882505824,0.7443544148012621,0.6767892537018985,0,0,,,,,0
5500,0.9,0.76,0.7199844980427862,0.27878620689655176,0.28527848517069465,0.7434571428571429,0.28381283643892347,22,0.25,0,0,0.5596479623770617,0.7749433910874975,0.594300104125549,0.6405696592413267,0,0,,,,,0
6000,0.86,0.7599333333333332,0.7745570508430132,0.279232183908046,0.314907274062568,0.7429285714285715,0.28474658385093166,22,0.25,0,0,0.7545631079220153,0.7732300471532491,0.7279719728174049,0.7409282638396264,0,0,,,,,0
6500,0.82,0.7594,0.7706355734999575,0.2792689655172414,0.325713988733377,0.7421714285714286,0.28536977225672877,22,0.25,0,0,0.7438312535646969,0.6894155077868537,0.6732137711449717,0.714674366582381,0,0,,,,,0
7000,0.84,0.7606666666666667,0.8606159112359133,0.27816091954022987,0.29343013234643134,0.7433,0.28490890269151137,22,0.25,0,0,0.6623932208656753,0.8950804178975473,0.6765864539142326,0.7607439711794446,0,0,,,,,0
7500,0.86,0.7599000000000001,0.6712080261613367,0.27882988505747125,0.27160567550631376,0.7428142857142859,0.2854778467908903,22,0.25,0,0,0.6732029785127011,0.6165560576053661,0.6123071671834731,0.6225494180688951,0,0,,,,,0
8000,0.9,0.7605000000000001,0.7883549558867057,0.27880689655172414,0.31581120011210617,0.743342857142857,0.2855014492753623,22,0.25,0,0,0.5980258857835932,0.6992794357395599,0.5374443729999565,0.6392951124341077,0,0,,,,,0
8500,0.96,0.7607000000000002,0.7585359723523172,0.27844827586206894,0.32781020255450644,0.7429857142857142,0.28585631469979295,22,0.25,0,0,0.5449112473283064,0.7948256487862811,0.5571974017031839,0.6355890152759741,0,0,,,,,0
9000,0.89,0.7609999999999999,0.6228643795390354,0.2783264367816092,0.32574666738606806,0.7429857142857142,0.2861792960662526,22,0.25,0,0,0.36041662537469893,0.6100496680163342,0.3223756168848986,0.418313405350213,0,0,,,,,0
9500,0.75,0.7601666666666668,0.6100828543755223,0.2784022988505747,0.3454770395408767,0.7420714285714287,0.2864774327122154,22,0.25,0,0,0.7168611057906631,0.6132656454296128,0.6396263793956639,0.6144568979301013,0,0,,,,,0
10000,0.82,0.7606666666666667,0.7608486683934035,0.27830804597701153,0.34587742125642307,0.7424000000000002,0.28674534161490683,22,0.25,0,0,0.7116589770474111,0.7466643053218991,0.714293466285087,0.7234878660281733,0,0,,,,,0
10500,0.9,0.7603000000000003,0.846314852022728,0.27824137931034487,0.33132890592594977,0.7418428571428571,0.2870679089026915,22,0.25,0,0,0.7997561872714399,0.8633377341606123,0.7933229254951374,0.812714249461038,0,0,,,,,0
11000,0.88,0.7600666666666667,0.8706113819906754,0.27862988505747127,0.28848268029385626,0.7416285714285713,0.28742111801242237,22,0.25,0,0,0.727911565660781,0.8683383119545097,0.7425122580277983,0.7979274111576194,0,0,,,,,0
11500,0.87,0.7590666666666667,0.6832365658437368,0.2797793103448276,0.25645227170990703,0.7406,0.28833457556935815,22,0.25,0,0,0.6475286140349965,0.6583359509057914,0.5792187162159024,0.6189569173791154,0,0,,,,,0
12000,0.9,0.7596000000000002,0.6408040761515001,0.2799034482758621,0.27413970104650676,0.7413857142857142,0.2880890269151139,22,0.25,0,0,0.5751785244598511,0.6524918649528206,0.5336428134856267,0.5602474852468515,0,0,,,,,0
12500,0.93,0.7593333333333333,0.7848692113667686,0.2807632183908046,0.3183801672904538,0.7410142857142858,0.2888906832298137,22,0.25,0,0,0.7472659504261102,0.7683127882465044,0.7430273339613351,0.7533452354799834,0,0,,,,,0
13000,0.88,0.7583333333333333,0.8432249735005627,0.2816919540229885,0.35942749162972376,0.7401571428571426,0.2899648033126294,22,0.25,0,0,0.8041560184713278,0.8716559347543961,0.8076168325233936,0.8099281368680173,0,0,,,,,0
13500,0.83,0.7579333333333336,0.8752781607638122,0.2813379310344828,0.340818973953368,0.7397,0.2896575569358178,22,0.25,0,0,0.7974560258190558,0.866676356169807,0.7933906133065686,0.825508083965301,0,0,,,,,0
14000,0.91,0.7575666666666668,0.7702649598530192,0.2820436781609196,0.2884172181124002,0.7393714285714286,0.2901159420289855,22,0.25,0,0,0.8056829911521017,0.7026093100207433,0.702523735208403,0.7205324223887982,0,0,,,,,0
14500,0.82,0.7582333333333334,0.8491637531555902,0.2818413793103448,0.2707497782126258,0.7397428571428571,0.29019710144927535,22,0.25,0,0,0.7698296611775455,0.8333960477009709,0.7578623671795423,0.7970347788974892,0,0,,,,,0
15000,0.93,0.7575333333333335,0.6675424477475916,0.2826712643678161,0.2656851462149792,0.7387142857142858,0.2909490683229814,22,0.25,0,0,0.764436083811356,0.638271401803798,0.6639627418021373,0.639080702810888,0,0,,,,,0
15500,0.89,0.7569,0.77116555515518,0.2833080459770115,0.29542387288793137,0.7381857142857143,0.29131221532091095,22,0.25,0,0,0.5536787833756969,0.753254823012702,0.5349623507536837,0.6349474719568552,0,0,,,,,0
16000,0.92,0.7560666666666667,0.7267526915141798,0.28451494252873566,0.35000256774620697,0.737242857142857,0.2925262939958592,22,0.25,0,0,0.8491083898248175,0.6933207920959963,0.7323512780309972,0.7053662259454931,0,0,,,,,0
16500,0.88,0.7551000000000001,0.6716486916915709,0.28565747126436786,0.36031299967941155,0.7361428571428571,0.2936182194616977,22,0.25,0,0,0.6819801490984538,0.6483391622771211,0.611207040343505,0.6120495822275376,0,0,,,,,0
17000,0.86,0.7548666666666667,0.8754859840547968,0.28610574712643677,0.34467516158298495,0.7360000000000001,0.2938732919254658,22,0.25,0,0,0.82848514017239,0.8583163145789238,0.8101933467328742,0.8384481476228196,0,0,,,,,0
17500,0.9,0.7557666666666666,0.6833299500532639,0.2862597701149425,0.3031649769763288,0.7365,0.2941296066252588,22,0.25,0,0,0.841566773989345,0.6962228178829774,0.7198486808471133,0.6768770871896881,0,0,,,,,0
18000,0.81,0.7570666666666667,0.9018036993151891,0.28541149425287354,0.2626900222348687,0.7378571428571429,0.2931527950310559,22,0.25,0,0,0.7410929460880791,0.926677120273601,0.7763677631837332,0.8344833316890382,0,0,,,,,0
18500,0.8,0.7570333333333333,0.9012299261573459,0.2856712643678161,0.2488988096326148,0.7377999999999999,0.2932256728778468,22,0.25,0,0,0.7489966721546735,0.9017028508419548,0.7720143066429694,0.8306619913029789,0,0,,,,,0
19000,0.87,0.7565333333333334,0.7349306612663926,0.28585747126436784,0.21102933076178365,0.7378857142857143,0.29273788819875773,22,0.25,0,0,0.8532333473277112,0.7034855488091923,0.742715770864442,0.7210628812645237,0,0,,,,,0
19500,0.78,0.7556333333333333,0.8347550515058964,0.28690344827586206,0.22371228892892092,0.7369428571428572,0.29384016563147,22,0.25,0,0,0.7261448236160702,0.7883190552243107,0.6926773123638063,0.7527337191254561,0,0,,,,,0
20000,0.62,0.7553,0.6312553535098953,0.28684827586206896,0.2774894919316073,0.7367285714285714,0.2940683229813664,22,0.25,0,0,0.6667158386567185,0.6683379243208705,0.5973611443347637,0.6106834273402664,0,0,,,,,0
20500,0.5,0.7551666666666667,0.4160162620558368,0.2867471264367816,0.30904072311209063,0.7367142857142858,0.29415900621118013,22,0.25,0,0,0.7088444855857002,0.31828610073836483,0.3998882068625544,0.39548263990388666,0,0,,,,,0
21000,0.41,0.7532999999999999,0.7064299380334635,0.28722988505747127,0.3304143950609766,0.7348285714285714,0.2945151138716356,22,0.25,0,0,0.7028360358330051,0.7435300403005983,0.6299842784534988,0.6653469058733102,0,0,,,,,0
21500,0.4,0.7496666666666665,0.2033444386523703,0.2875080459770115,0.32187725881603646,0.7311857142857143,0.29468115942028983,22,0.25,0,0,0.8079096752936155,0.17165658735868075,0.28444856232859256,0.22030175501608565,0,0,,,,,0
22000,0.49,0.7491666666666666,0.6802535532572773,0.28808965517241375,0.31873962088162655,0.7306857142857144,0.2952008281573499,24,0.25,0,0,0.6163752523074078,0.5650124991771989,0.48298659147685413,0.5652646995853717,0,0,,,,,0
22500,0.46,0.7475999999999999,0.5533188354876685,0.28846436781609197,0.320184989548149,0.7289285714285714,0.29585465838509317,24,0.25,0,0,0.4558518574978259,0.5862531634072806,0.40147967421862835,0.46768269263750917,0,0,,,,,0
23000,0.53,0.7462666666666667,0.4065502291763707,0.2891126436781609,0.35141013533830745,0.7275285714285713,0.29653706004140795,24,0.25,0,0,0.8215807303627953,0.38333075913199455,0.48879365665255403,0.42479781949255896,0,0,,,,,0
23500,0.59,0.7442666666666666,0.5411978342880491,0.28958620689655173,0.37238248661651663,0.7258285714285715,0.2973258799171843,24,0.25,0,0,0.856545037049338,0.5183338440715934,0.5621578941046157,0.5088723900470946,0,0,,,,,0
24000,0.45,0.7427333333333332,0.517782579591858,0.2908827586206897,0.3987079251016795,0.7244428571428573,0.29849565217391305,24,0.25,0,0,0.5351300869808363,0.6989874044596422,0.5316575577848063,0.5126205130882265,0,0,,,,,0
24500,0.56,0.7413,0.46365234442775216,0.2917540229885057,0.43010658930645407,0.7224857142857143,0.2993631469979296,24,0.25,0,0,0.6126192042568843,0.4533408626032745,0.41539130051543777,0.41816677339990976,0,0,,,,,0
25000,0.65,0.7400333333333333,0.47445443589222663,0.29258620689655174,0.463816651885824,0.7213428571428573,0.30003312629399587,24,0.25,0,0,0.6188638816637105,0.4633198738814606,0.4826750904228705,0.4600326381713884,0,0,,,,,0
25500,0.59,0.7384666666666664,0.5195805472555896,0.29375632183908046,0.4764701514598009,0.7196428571428571,0.30129399585921324,24,0.25,0,0,0.5802513365446231,0.48333579972868296,0.46993828714345004,0.4816558288709059,0,0,,,,,0
26000,0.58,0.7374000000000002,0.5975557612524421,0.29500689655172413,0.4866341520301767,0.7183285714285713,0.30268033126294,24,0.25,0,0,0.7490741085314834,0.5716747608531743,0.5848052289416811,0.579848857184943,0,0,,,,,0
26500,0.6,0.7359666666666665,0.5500693008494305,0.29654942528735634,0.4839939032763245,0.7166571428571428,0.30389399585921323,24,0.25,0,0,0.5935766159408952,0.5450109874005827,0.4931553479885587,0.503646690969933,0,0,,,,,0
27000,0.73,0.7352333333333334,0.5993473596214696,0.29797471264367814,0.4796879497418458,0.7158571428571427,0.3055503105590062,24,0.25,0,0,0.8173650862445958,0.5866681227476229,0.6326273846134036,0.6045229731928886,0,0,,,,,0
27500,0.62,0.7342666666666665,0.5604963056330482,0.29948045977011495,0.4779031843865055,0.7148428571428572,0.30696770186335404,24,0.25,0,0,0.607270356363836,0.5383447798056386,0.4561533573804991,0.49251778000674923,0,0,,,,,0
28000,0.59,0.7325333333333333,0.50039784399938,0.3004275862068966,0.4724604625897988,0.713,0.30781780538302284,24,0.25,0,0,0.641515505171949,0.5216702547537541,0.5020772595628344,0.4948187679143882,0,0,,,,,0
28500,0.54,0.7306666666666667,0.4816170274533621,0.3015402298850575,0.47105083398850567,0.7111714285714285,0.3088985507246377,24,0.25,0,0,0.5377804575608037,0.44833214658692333,0.37864425735121177,0.4074082548113509,0,0,,,,,0
29000,0.54,0.7294333333333334,0.50131395953617,0.30241149425287356,0.4737477741285516,0.7102285714285715,0.30996521739130434,24,0.25,0,0,0.5475760993895517,0.454989620928815,0.39911654119223466,0.4312621758690717,0,0,,,,,0
29500,0.47,0.7276333333333335,0.6476100934808768,0.30367126436781605,0.47131692026985916,0.708342857142857,0.3115229813664596,24,0.25,0,0,0.4633949688375647,0.6233291146661515,0.4215237532227027,0.5164240907304143,0,0,,,,,0
30000,0.57,0.7265333333333334,0.5927213328901445,0.3043908045977011,0.46238977582184604,0.7078285714285716,0.3118592132505176,24,0.25,0,0,0.5573861461604668,0.5783319375627637,0.4780593639044274,0.5098674649503528,0,0,,,,,0
30500,0.62,0.7255666666666667,0.5474509615685622,0.305216091954023,0.46097368641103886,0.7071,0.3126952380952381,24,0.25,0,0,0.559869686635215,0.553369401834214,0.44854999912315274,0.4774443108067163,0,0,,,,,0
31000,0.66,0.7236999999999998,0.5646243812634003,0.3059655172413794,0.4571446331895782,0.7057571428571427,0.313671635610766,24,0.25,0,0,0.5817672650870989,0.5499715188381165,0.49924689730683286,0.5212166978944802,0,0,,,,,0
31500,0.64,0.7225666666666668,0.45463660285148805,0.3064114942528735,0.4605886571953529,0.7047428571428571,0.31407453416149067,24,0.25,0,0,0.5857611507316697,0.4417170438581488,0.41475763535269217,0.4171847395776957,0,0,,,,,0
32000,0.62,0.7195999999999999,0.38038117818430306,0.30809655172413797,0.4671310752426414,0.7018714285714286,0.31575113871635613,24,0.25,0,0,0.5824795311541615,0.6030397589580468,0.5275907377207806,0.42603998056729625,0,0,,,,,0
32500,0.52,0.7178666666666668,0.479017304962139,0.3097747126436782,0.4689100950518421,0.7,0.3171494824016563,24,0.25,0,0,0.5481794486722099,0.4633845443570265,0.43025070187183384,0.4358608467882786,0,0,,,,,0
33000,0.55,0.7168333333333332,0.6840183648157578,0.31101839080459764,0.4729520744136695,0.6988428571428572,0.31839130434782614,24,0.25,0,0,0.5725249841460135,0.6866898534513827,0.5413911011891318,0.5961305639781095,0,0,,,,,0
33500,0.68,0.716,0.5917034354764176,0.31244597701149424,0.46775387934888635,0.6985571428571429,0.3192790890269151,24,0.25,0,0,0.6213162767022482,0.583279361403169,0.5373965263068025,0.5494466590223139,0,0,,,,,0
34000,0.7,0.7147,0.6381938732212842,0.31366666666666665,0.4578643862266297,0.6977142857142857,0.3205002070393375,24,0.25,0,0,0.529615639190557,0.6833610221745984,0.5049419295932253,0.5625840556485505,0,0,,,,,0
34500,0.72,0.7145999999999998,0.6175313964200378,0.31412873563218396,0.4460310002884913,0.6977142857142856,0.32085383022774333,24,0.25,0,0,0.6309699791960577,0.619986693333121,0.5276406209655805,0.5525871118092396,0,0,,,,,0
35000,0.63,0.7147333333333332,0.7546710393855557,0.3142942528735633,0.4264118445615006,0.6978857142857142,0.3210368530020704,24,0.25,0,0,0.6193860172869213,0.7583952971859166,0.6064125347651017,0.670577857897319,0,0,,,,,0
