instance,rolling_acc,active_real_acc,active_pred_acc,active_real_div,active_pred_div,pool_real_acc,pool_real_div,K,lambda,drift_count,n_swapped,mean_margin,mean_A_inst,mean_C,mean_w,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
500,0.6,0.36680000000000007,0.3858414249406072,0.34523218390804594,0.2974620689655172,0.3580285714285714,0.3592521739130435,15,0.95,0,0,0.503790635773044,0.3691860519447218,0.37503746353260303,0.3769880838328608,0,0,,,,,0
1000,0.64,0.3906333333333334,0.42728980401466843,0.3630505747126437,0.32790287816091945,0.3869714285714286,0.36817225672877846,15,0.95,0,0,0.39290743730661243,0.44793208083481717,0.3474125181929428,0.3829261495626749,0,0,,,,,0
1500,0.7,0.39583333333333326,0.40199391939872403,0.37023218390804596,0.35261195696551706,0.3919714285714285,0.37521076604554865,15,0.95,0,0,0.5991043017760834,0.3625092726130449,0.4421525474942531,0.4093701414513555,725,184,0.5262454560687737,0.970066802466716,0.15975085241501613,0.7471074088803765,9209
2000,0.68,0.40286666666666665,0.3632224337755284,0.3749149425287357,0.376589331161747,0.39854285714285714,0.37827163561076604,15,0.95,0,0,0.4890585261318075,0.2896784882550637,0.3475390299426759,0.3479742293827083,1375,363,0.5180059647655529,0.9717100233318903,0.15134279887529412,0.7371023322580584,17344
2500,0.75,0.40493333333333337,0.4672280442330659,0.375967816091954,0.38602655125386287,0.4009571428571428,0.3793469979296066,15,0.95,0,0,0.5298129360223248,0.5154881879722713,0.46619606962678356,0.4564085088219424,2160,534,0.5317033436796115,0.9739293294035107,0.157456628130173,0.7394360332779346,26143
3000,0.69,0.4067,0.3748407620144656,0.3777862068965518,0.405696371253472,0.4030000000000001,0.3795238095238095,15,0.95,0,0,0.26832750470682654,0.40595055709328953,0.2737649610621594,0.31111335677022645,2918,704,0.5359783121080719,0.9750927837367583,0.16326564056190623,0.7421707464245182,34028
3500,0.63,0.41036666666666666,0.45229759907447054,0.3787103448275862,0.4128756546137161,0.4067,0.3796252587991718,15,0.95,0,0,0.2120641580120184,0.2853565593249805,0.20597415766497912,0.292367141208557,3504,858,0.5321733337262233,0.9749071796201987,0.1568543779677511,0.735876911497224,42191
4000,0.75,0.41296666666666676,0.4365579153280941,0.38050804597701154,0.41801028458751,0.40915714285714283,0.3792666666666667,15,0.95,0,0,0.3027975480570045,0.382073747639671,0.27265093551305686,0.33888677398171707,4150,1023,0.5294391496479506,0.9741507255380356,0.15461467707879673,0.7344807787094992,50085
4500,0.72,0.4166,0.5727756071472159,0.3812413793103448,0.4244159614463512,0.4126857142857143,0.3783503105590062,15,0.95,0,0,0.29408668364253177,0.463040156057032,0.3227987949263586,0.42304625126189216,4735,1192,0.525881748108965,0.9737569267230364,0.15000014062079234,0.7342174978793419,60180
5000,0.73,0.4214666666666667,0.5608007485970942,0.38211034482758627,0.4230306274329456,0.41747142857142855,0.3777875776397515,15,0.95,0,0,0.6631450557583641,0.6839012064034408,0.6377046911375055,0.5818751558442876,5137,1313,0.5230514476669287,0.9721998662341644,0.1411442312433645,0.7290942989980866,69895
5500,0.77,0.4218,0.39648501380037526,0.3810896551724138,0.416883417649039,0.4204285714285714,0.37567204968944096,15,0.95,0,0,0.5444486718234397,0.4568770820407297,0.42834784182670094,0.39579558544658183,5432,1411,0.5193220482980443,0.9706916353756749,0.12513839691357634,0.720014577730236,77898
6000,0.7,0.42396666666666666,0.37299586098007553,0.3809264367816092,0.4179441167328597,0.42324285714285714,0.37334037267080744,15,0.95,0,0,0.46641612346927824,0.4718847469966605,0.42201569947505924,0.38139292008055603,5605,1472,0.5153073794136188,0.9702200623604742,0.11199782890756858,0.7099945669240247,84814
6500,0.67,0.42513333333333336,0.4450152149801655,0.3810896551724138,0.4168691542492601,0.42572857142857135,0.3737370600414079,15,0.95,0,0,0.4569207317829755,0.6238987870525842,0.45763650248141324,0.437138245018475,5903,1564,0.5119228963228222,0.9691384702091638,0.10536638424942435,0.7031977346194682,92217
7000,0.77,0.4257333333333334,0.29851297033437796,0.3811632183908046,0.3995873334124025,0.42634285714285713,0.37183933747412007,15,0.95,0,0,0.279673363531513,0.17750839257208767,0.17200377853792032,0.22012600703954846,6240,1666,0.5080984160780347,0.9682962117597325,0.10306100834313892,0.6997098390859834,98320
7500,0.7,0.4256,0.3344708545044141,0.37931494252873565,0.3862908359126733,0.4270714285714286,0.36804844720496893,15,0.95,0,0,0.3870115868184646,0.3470644227982977,0.31505716548046175,0.31802924021048634,6428,1738,0.5052542126876512,0.9680525036269702,0.10077478717824888,0.696601248171582,102731
8000,0.65,0.42513333333333336,0.387163140654503,0.37840919540229884,0.37380636086085195,0.42891428571428575,0.36672463768115937,15,0.95,0,0,0.5147507453149975,0.566395281628382,0.5010403146852522,0.42677793176068707,6667,1821,0.5032718421093534,0.9678639940865306,0.09962494287099667,0.6945141641693693,108056
8500,0.77,0.4283,0.5587659511592343,0.3791609195402299,0.3760669675026692,0.4329857142857143,0.36640869565217393,15,0.95,0,0,0.33352835502869843,0.6865765367282878,0.4060584176910836,0.46925694433190146,6950,1921,0.49989922981128493,0.9673277342439309,0.09791378930498722,0.6922694027484357,115196
9000,0.64,0.43056666666666665,0.5087399751864603,0.3793448275862069,0.3938208069015965,0.4363,0.3637345755693582,15,0.95,0,0,0.47932305026203803,0.7078220355606549,0.5429636679222934,0.5151725767153201,7273,2027,0.49663056875412415,0.9671218685456868,0.09596561038703626,0.6906506959017633,122469
9500,0.55,0.42949999999999994,0.3242014743752037,0.37806666666666666,0.4100855922790907,0.4359428571428571,0.36023685300207037,15,0.95,0,0,0.29355372320710005,0.2119285997536337,0.1852239656198578,0.2294512373999946,7619,2141,0.49385165232921785,0.9671695878691176,0.09450207634959286,0.6898442835775519,129499
10000,0.72,0.4327333333333333,0.5148325582774861,0.37929655172413795,0.42602944163769885,0.4388285714285714,0.3582285714285714,15,0.95,0,0,0.44554500356323334,0.5298515584923282,0.4489819678059311,0.4699101598401628,8063,2261,0.4925481906654289,0.9675120789384196,0.09420069148259885,0.6900469902912334,135569
10500,0.69,0.43543333333333334,0.3944073015863202,0.379464367816092,0.43414978517686287,0.43981428571428577,0.3559871635610766,15,0.95,0,0,0.33111093752270016,0.26577981221931035,0.25120290258525774,0.30834216820331123,8505,2392,0.49093376174357195,0.9675840098545181,0.09350250929873977,0.6901248698637181,142429
11000,0.66,0.4388,0.5288480243060553,0.3798436781609195,0.4349145750680251,0.4432428571428571,0.3537105590062112,15,0.95,0,0,0.4603295721936817,0.5755643429055226,0.4827375773848456,0.4968952303339154,8950,2517,0.49063904625595445,0.9681050026162076,0.09237715623928949,0.6896434782454416,149291
11500,0.69,0.44046666666666656,0.4218953199316068,0.3801103448275862,0.42962266137686933,0.4429,0.3517792960662526,15,0.95,0,0,0.5834544377416415,0.33649069140236365,0.3818618930882358,0.38802419359268786,9459,2673,0.4878423616657542,0.9680157775641471,0.09239080932775358,0.6907041820738725,157937
12000,0.72,0.4419,0.43657691883777044,0.3792298850574713,0.43702221411920983,0.44408571428571425,0.34898964803312627,15,0.95,0,0,0.3957986120202456,0.3869869455261849,0.3313619858182379,0.36964639507613145,10050,2839,0.4867615265416476,0.9678343784081793,0.09265604382741986,0.6914575798477529,165994
12500,0.67,0.4425,0.4390577176063083,0.3787563218390804,0.4381147227834207,0.4455857142857142,0.34560124223602484,15,0.95,0,0,0.32564568723679577,0.33028369311002576,0.2717074302982487,0.3403469062654538,10709,2993,0.49131844709072275,0.9675930142020847,0.09419272504702582,0.6925459108624556,175003
13000,0.65,0.4447666666666666,0.5719757600135332,0.37906896551724134,0.4331768989846515,0.4493857142857143,0.34383229813664595,15,0.95,0,0,0.211788851907901,0.6195987735601771,0.31352248061098537,0.4148824413137157,11378,3139,0.49617846707148106,0.9676500956271733,0.09584103433341991,0.6940361811000555,184000
13500,0.73,0.44583333333333336,0.4553597396460747,0.3785494252873563,0.43529804293638386,0.4488571428571429,0.34156935817805384,15,0.95,0,0,0.3030266107131283,0.39808307034742507,0.30250786387027595,0.36203430655552515,11990,3268,0.4979196479007096,0.9672801811260445,0.09589808657017271,0.6945185637405433,192292
14000,0.69,0.44906666666666667,0.4846163711723464,0.37870344827586205,0.43369052901791116,0.4508428571428571,0.34124679089026916,15,0.95,0,0,0.5589470531371673,0.33630525341272555,0.37006816592365943,0.41124640010524854,12435,3388,0.4976071611129905,0.9671919908209123,0.0957751971327149,0.6945972248342687,199088
14500,0.73,0.44926666666666665,0.5274074269431228,0.37862068965517237,0.4249294788013481,0.4528857142857143,0.3412182194616977,15,0.95,0,0,0.5528786196408285,0.6109005164216412,0.5182041965115308,0.5178874284772589,12975,3523,0.4959716081910867,0.966665692827115,0.09523791471934927,0.6945793110260426,206498
15000,0.77,0.6492333333333332,0.6484347382054299,0.3275862068965517,0.38740665176697986,0.2134714285714286,0.2959457556935818,15,0.95,1,23,0.7611668129466328,0.8723051478225481,0.8043231479365265,0.7162559425253766,13520,3673,0.4933974598215784,0.9664589833096023,0.09533407985851453,0.6961962952641388,215782
15500,0.72,0.5565045977011495,0.4440746713222211,0.3709076496234642,0.35635294678603946,0.21819999999999998,0.29637018633540374,15,0.95,1,23,0.45741985994523765,0.23095470427271986,0.2865798771530504,0.3512826449589242,14059,3864,0.4888618506237133,0.9659862004271279,0.09461261629954636,0.7009196932784622,232561
16000,0.64,0.6031370370370369,0.43355562710956724,0.36819923371647506,0.34896862599583145,0.2247857142857143,0.29717722567287785,15,0.95,1,23,0.5304683126182137,0.34375990553935665,0.3666557651763788,0.3937257322412168,14430,4015,0.4855686248689719,0.9656037947891276,0.09266896557769916,0.7039540249698288,247624
16500,0.7,0.5652552742616034,0.6549684978801147,0.36071584460934086,0.34521900109710224,0.22781428571428572,0.2951855072463768,15,0.95,1,23,0.591592839248379,0.6836458398477434,0.6141543864620004,0.6274600535052711,14952,4221,0.48107195068677244,0.9652519100124966,0.091381156194324,0.707516104060363,262887
17000,0.7,0.5532153846153847,0.41500460141762274,0.3769893899204244,0.3507439446536702,0.23102857142857144,0.2966815734989648,15,0.95,1,23,0.5430858409500624,0.4695585471514128,0.43193404178574146,0.41484830375270715,15514,4425,0.4779993270321934,0.9647195831088995,0.09060507770896177,0.7106982470596349,277597
17500,0.7,0.5756108527131781,0.6615457978329682,0.3754076450147019,0.3633404004404178,0.23844285714285712,0.29877556935817806,15,0.95,1,23,0.5548886978157057,0.5956283918471587,0.49803947441930935,0.5687827061716397,16109,4624,0.47647219970935256,0.9642462151088887,0.0906633148684393,0.7139323212769643,293384
18000,0.74,0.5837982683982684,0.496555795626382,0.37705627705627703,0.3517731631864134,0.24544285714285716,0.29858923395445136,15,0.95,1,23,0.61516773520738,0.513518704830967,0.5283885598604027,0.49664557753094823,16637,4829,0.47263826608422227,0.9636673803295898,0.08998593608103685,0.7169289500805714,308629
18500,0.74,0.5901418994413407,0.7621764947681383,0.37346689783599823,0.352818226738155,0.2530857142857143,0.3004778467908903,15,0.95,1,23,0.6364163460105072,0.7286700904806868,0.6244752920843571,0.6825562079657883,17296,5062,0.4701294219583031,0.963386747917996,0.0896519215450977,0.7196369036753126,325810
19000,0.67,0.6013235294117648,0.6753480812457051,0.36281271129141307,0.3594370286416595,0.2632142857142857,0.30268944099378875,15,0.95,1,23,0.5495122081453216,0.6547875544630896,0.5430657880103812,0.5995549221486625,17783,5248,0.46754279780519237,0.9631721046905637,0.08782581842471585,0.721477170642887,339976
19500,0.77,0.5925486171761281,0.5024935425618327,0.36546704813532105,0.3551045259168689,0.2690142857142856,0.3035084886128364,15,0.95,1,23,0.5059860478285604,0.4486634145399765,0.45176790209577994,0.46168885753083033,18311,5450,0.46563527733682725,0.9630820034061501,0.08701536372345413,0.7235911872111849,355609
20000,0.64,0.5861393700787401,0.5602057050216579,0.3695809575527197,0.37646085520047134,0.27567142857142857,0.30528405797101454,15,0.95,1,23,0.6019714523623959,0.5730180741437678,0.5545369466430542,0.5485199104465914,18830,5638,0.46656885720540187,0.9629253597913537,0.08602913815626803,0.7245734853146892,369683
20500,0.64,0.5812339307048986,0.4669200441949774,0.3720842087916615,0.3964292002018649,0.2816428571428572,0.3061080745341615,15,0.95,1,23,0.6236138372147256,0.4787383024058874,0.49353895603134584,0.4712458883264823,19257,5792,0.4659244730849862,0.9626658251975118,0.08357301011379474,0.7248935865823496,381102
21000,0.67,0.5687394736842105,0.5604980437026659,0.37534785238959467,0.41455621027346967,0.28621428571428575,0.30871677018633537,15,0.95,1,23,0.5815684684464724,0.46541891270357844,0.47854014175775783,0.5067973838700038,19616,5908,0.46476185591614266,0.9624991737324317,0.08155461225921823,0.7246223634797835,390346
21500,0.64,0.5627753799392097,0.4632807132278886,0.3776193969884359,0.42214622744858366,0.2909714285714286,0.3091536231884058,15,0.95,1,23,0.5901712171142537,0.522283628789105,0.4758049233504807,0.4602286333468573,20171,6067,0.4641827303251453,0.96225882213692,0.0811840673472241,0.7249100260534301,400277
22000,0.65,0.5585254237288134,0.46741407657005546,0.3761932593025521,0.4243378017870082,0.2969428571428572,0.3096910973084886,15,0.95,1,23,0.6754984895502492,0.441124748164431,0.4935038629983731,0.47269816447035873,20420,6159,0.4635415730011024,0.9620443086925237,0.07944610829045679,0.7241715628169371,408589
22500,0.66,0.5503170624450308,0.49891532738222943,0.3743183817062445,0.4140595034885127,0.30184285714285713,0.309703933747412,15,0.95,1,23,0.4756528294021244,0.60222178099497,0.4671334214237633,0.47030991248936727,20695,6263,0.4635348744588038,0.9620088031753354,0.0785763854159339,0.7241242562660831,416274
