mode,config,dataset,label_pct,global_acc,f1_score,elapsed_s,relevance_mae,brier,div_corr,div_mae
mlhat,config_2,Electricity,1,0.751715111030872,0.4852826748537764,90.534277,0.0240567263142408,0.2590359840963903,0.9609117171443462,0.0384919540229885
mlhat,config_2,Electricity,5,0.793848167539267,0.5218014354779111,102.108538,0.0093941359663497,0.2307760699178111,0.9878650105386048,0.0163365517241379
mlhat,config_2,AGR_g,5,0.8123333333333334,0.8040225420277296,159.65847799999997,0.0054672796792599,0.222501622396181,0.8932282887741803,0.0212366666666666
mlhat,config_2,AGR_g,1,0.7284343434343434,0.7112565188660418,149.12181,0.0127164639677557,0.2652213310337863,0.7903633723434057,0.0166296551724138
mlhat,config_2,AGR_a,5,0.7984747474747474,0.7975021686135437,145.16939399999998,0.0059604817299296,0.2562727506771047,0.9475839444449322,0.0235841379310344
mlhat,config_2,AGR_a,1,0.6679090909090909,0.6673399260180486,146.048469,0.0145588555270867,0.2890188874012793,0.7905934103157254,0.0169742528735632
mlhat,config_2,LED_a,1,0.5336969696969697,0.5204598559815743,162.29928,0.0161315945393425,0.2564748112884894,0.7572925203248354,0.0266571264367816
mlhat,config_2,LED_a,5,0.6648080808080808,0.664166161457163,205.533474,0.0078906365810679,0.2843457042394981,0.9209143062093318,0.0447083908045976
mlhat,config_2,LED_g,1,0.4604545454545454,0.4493595017468331,165.290702,0.0107982642295015,0.2308861822652277,0.80499775033547,0.0285058620689655
mlhat,config_2,LED_g,5,0.6298686868686869,0.6281518817413173,210.823185,0.0048900716920561,0.2719447541961632,0.8589246125864184,0.032575172413793
mlhat,config_2,RBF_m,1,0.7716565656565657,0.7533350652585495,124.61233,0.02214306480703,0.2629128037124522,0.6790914221120835,0.0230343678160919
mlhat,config_2,RBF_m,5,0.817929292929293,0.7995929843358154,153.954903,0.0077558991306994,0.2443368776102648,0.7650015520526003,0.0398090804597701
mlhat,config_2,RBF_f,1,0.7444343434343434,0.7190795236746068,123.202728,0.019006274486387,0.2675834357383708,0.6986397002404586,0.0233048275862069
mlhat,config_2,RBF_f,5,0.7807979797979798,0.759265289792044,153.877173,0.0072347974507693,0.2527678863974754,0.767396000389065,0.0177180459770114
mlhat,config_2,airlines,1,0.5927453132806942,0.5185838926167533,879.1259580000001,0.0060177063734875,0.3162271688118492,0.9760478815514292,0.0246920689655172
mlhat,config_2,airlines,5,0.6378563216149098,0.6017995690756885,1079.829123,0.0046580499490275,0.3213619648229372,0.966091230756312,0.0128405747126436
mlhat,config_2,CovtFD,1,0.7059129811107356,0.4582843128267622,3247.573498,0.0050607435728717,0.2594934720647434,0.8060445442124936,0.0144390804597701
mlhat,config_12,Electricity,5,0.8051543599927785,0.7963451495272253,144.727467,0.0075350666166224,0.2165441519585995,0.9834710720646586,0.0158820689655172
mlhat,config_12,Electricity,1,0.7615092977071674,0.7423417511709998,126.974836,0.0170246205131091,0.2470135147049162,0.9514987517856868,0.032312183908046
mlhat,config_2,CovtFD,5,0.7953956125045689,0.6430652159964187,3842.708141,0.0026155291272602,0.2226825382313907,0.8701096678270341,0.0050019540229885
mlhat,config_12,AGR_g,5,0.8047171717171717,0.8006404686608167,286.93291,0.0058480467853136,0.2362079647596955,0.937627758719875,0.0095020689655172
mlhat,config_12,AGR_g,1,0.7336666666666667,0.7236026010750901,238.620854,0.0158682813715562,0.269073405368366,0.8698133066533341,0.0179580459770114
mlhat,config_12,AGR_a,5,0.7874242424242425,0.7822443561965711,299.463801,0.0063104097399984,0.2714387509770747,0.9494977852071014,0.0116332183908045
mlhat,config_12,AGR_a,1,0.6816464646464646,0.6771799465111819,232.37823,0.0145358883095967,0.2978848894510158,0.8600239740997233,0.0178527586206896
mlhat,config_12,LED_a,1,0.5801111111111111,0.5655182789219626,239.734532,0.0117328161748339,0.2634645597468699,0.7983238742371833,0.0239680459770114
mlhat,config_12,LED_a,5,0.6814343434343434,0.6791799828841073,323.211615,0.0073636922794955,0.2846051760278983,0.9097522663220796,0.0450506896551724
mlhat,config_12,LED_g,1,0.528060606060606,0.5134459111674079,231.711683,0.0104928804334795,0.2350793088485967,0.8202087625664395,0.0298152873563218
mlhat,config_12,LED_g,5,0.6399292929292929,0.6344396244738315,315.57099800000003,0.0060910417868705,0.270173946803221,0.843093651789742,0.0296799999999999
mlhat,config_12,RBF_m,1,0.7635858585858586,0.7439825166162906,216.338717,0.0132587690911692,0.2660816182854629,0.7901266278978245,0.0315351724137931
mlhat,config_12,RBF_m,5,0.8035656565656566,0.7860326776469325,259.21026,0.0084894982162583,0.2561843581341209,0.8196813356947827,0.0137179310344827
mlhat,config_12,RBF_f,1,0.735979797979798,0.7103133857343883,210.154689,0.0175162709249945,0.2676207636823503,0.7875478897637229,0.0507302298850574
mlhat,config_12,RBF_f,5,0.7733737373737374,0.7514616607622504,261.69426999999996,0.007549922247434,0.2564763026043571,0.9237363467957268,0.0151437931034482
mlhat,config_12,airlines,5,0.6153704704643349,0.6103261617068502,1361.698996,0.0033420021337712,0.3273186842200694,0.965230257189404,0.0160385057471264
