dataset,config,label_pct,omega_tag,omega,adapt_lambda,global_acc,f1_score,drift_count,total_instances,elapsed_s,probe_file,source
LED_a,config_4,5,adapt,nan,True,0.6756969696969697,0.6733194151943651,1,99000,364.5,config_4_LED_a_5labels_adapt.npz,omega_study
LED_a,config_4,1,w0.25,0.25,False,0.5568888888888889,0.5435050320487763,0,99000,288.6,config_4_LED_a_1labels_w0.25.npz,omega_study
LED_a,config_4,1,w0.50,0.5,False,0.5565151515151515,0.5430750064945589,0,99000,290.4,config_4_LED_a_1labels_w0.50.npz,omega_study
LED_a,config_4,1,w0.75,0.75,False,0.5545252525252525,0.5409649087301913,0,99000,287.8,config_4_LED_a_1labels_w0.75.npz,omega_study
LED_a,config_4,1,w0.95,0.95,False,0.5534343434343434,0.539672166665809,0,99000,291.2,config_4_LED_a_1labels_w0.95.npz,omega_study
LED_a,config_4,1,adapt,nan,True,0.5521010101010101,0.5380952442524716,0,99000,289.2,config_4_LED_a_1labels_adapt.npz,omega_study
LED_g,config_4,5,w0.05,0.05,False,0.6343939393939394,0.6291674210258886,1,99000,381.1,config_4_LED_g_5labels_w0.05.npz,omega_study
LED_g,config_4,5,w0.25,0.25,False,0.6436868686868686,0.6383146799928431,1,99000,384.6,config_4_LED_g_5labels_w0.25.npz,omega_study
LED_g,config_4,5,w0.50,0.5,False,0.6417979797979798,0.6376398861954565,1,99000,387.0,config_4_LED_g_5labels_w0.50.npz,omega_study
LED_g,config_4,5,w0.75,0.75,False,0.6367777777777778,0.6331638513337492,1,99000,386.9,config_4_LED_g_5labels_w0.75.npz,omega_study
LED_g,config_4,1,w0.05,0.05,False,0.49716161616161614,0.4855382587215768,0,99000,307.3,config_4_LED_g_1labels_w0.05.npz,omega_study
LED_g,config_4,5,w0.95,0.95,False,0.6351313131313131,0.6307671308215841,1,99000,379.0,config_4_LED_g_5labels_w0.95.npz,omega_study
LED_g,config_4,1,w0.25,0.25,False,0.4983838383838384,0.4867173756646144,0,99000,304.5,config_4_LED_g_1labels_w0.25.npz,omega_study
LED_g,config_4,5,adapt,nan,True,0.6358787878787879,0.6319950699342447,2,99000,385.0,config_4_LED_g_5labels_adapt.npz,omega_study
LED_g,config_4,1,w0.75,0.75,False,0.49566666666666664,0.48406119160317973,0,99000,300.7,config_4_LED_g_1labels_w0.75.npz,omega_study
LED_g,config_4,1,w0.50,0.5,False,0.4968484848484849,0.4850624746863545,0,99000,305.7,config_4_LED_g_1labels_w0.50.npz,omega_study
LED_g,config_4,1,w0.95,0.95,False,0.4924545454545455,0.4805650695220776,0,99000,302.3,config_4_LED_g_1labels_w0.95.npz,omega_study
LED_g,config_4,1,adapt,nan,True,0.49442424242424243,0.48289793056323627,0,99000,301.1,config_4_LED_g_1labels_adapt.npz,omega_study
AGR_a,config_12,5,w0.25,0.25,False,0.7318585858585859,0.7264266859663053,0,99000,372.2,config_12_AGR_a_5labels_w0.25.npz,omega_study
AGR_a,config_12,5,w0.50,0.5,False,0.7758484848484849,0.7708168002957936,5,99000,380.8,config_12_AGR_a_5labels_w0.50.npz,omega_study
AGR_a,config_12,5,w0.05,0.05,False,0.6867171717171717,0.6775381387548922,0,99000,405.5,config_12_AGR_a_5labels_w0.05.npz,omega_study
AGR_a,config_12,5,w0.75,0.75,False,0.7868787878787878,0.7823133978940983,4,99000,413.0,config_12_AGR_a_5labels_w0.75.npz,omega_study
AGR_a,config_12,1,w0.05,0.05,False,0.6532424242424243,0.6492585655026888,0,99000,353.4,config_12_AGR_a_1labels_w0.05.npz,omega_study
AGR_a,config_12,1,w0.25,0.25,False,0.6626262626262627,0.6573926053489949,0,99000,352.4,config_12_AGR_a_1labels_w0.25.npz,omega_study
AGR_a,config_12,5,w0.95,0.95,False,0.7904545454545454,0.7864896026752133,2,99000,455.0,config_12_AGR_a_5labels_w0.95.npz,omega_study
AGR_a,config_12,1,w0.50,0.5,False,0.6803131313131313,0.677331275622456,0,99000,354.7,config_12_AGR_a_1labels_w0.50.npz,omega_study
AGR_a,config_12,1,w0.95,0.95,False,0.6758181818181819,0.6720298572933617,0,99000,369.7,config_12_AGR_a_1labels_w0.95.npz,omega_study
AGR_a,config_12,1,w0.75,0.75,False,0.6748888888888889,0.6716089577577367,0,99000,371.2,config_12_AGR_a_1labels_w0.75.npz,omega_study
AGR_g,config_12,5,w0.25,0.25,False,0.7646262626262627,0.7572582287420999,5,99000,380.2,config_12_AGR_g_5labels_w0.25.npz,omega_study
AGR_g,config_12,5,w0.05,0.05,False,0.721030303030303,0.7131646991474161,6,99000,440.1,config_12_AGR_g_5labels_w0.05.npz,omega_study
AGR_g,config_12,5,w0.50,0.5,False,0.7747070707070707,0.7691024930954441,6,99000,432.5,config_12_AGR_g_5labels_w0.50.npz,omega_study
AGR_g,config_12,5,w0.75,0.75,False,0.8063232323232323,0.8020726291669176,5,99000,472.8,config_12_AGR_g_5labels_w0.75.npz,omega_study
AGR_g,config_12,1,w0.05,0.05,False,0.6896363636363636,0.6787802436386984,2,99000,352.0,config_12_AGR_g_1labels_w0.05.npz,omega_study
AGR_g,config_12,5,w0.95,0.95,False,0.7932929292929293,0.7892655907710702,6,99000,409.7,config_12_AGR_g_5labels_w0.95.npz,omega_study
AGR_g,config_12,1,w0.25,0.25,False,0.7084646464646465,0.7000183134950967,1,99000,356.2,config_12_AGR_g_1labels_w0.25.npz,omega_study
AGR_g,config_12,1,w0.50,0.5,False,0.7084444444444444,0.7012855917831236,2,99000,365.0,config_12_AGR_g_1labels_w0.50.npz,omega_study
AGR_g,config_12,1,w0.75,0.75,False,0.7372020202020202,0.7268789006903318,2,99000,367.9,config_12_AGR_g_1labels_w0.75.npz,omega_study
AGR_g,config_12,1,w0.95,0.95,False,0.7286565656565657,0.7209164559543777,2,99000,369.0,config_12_AGR_g_1labels_w0.95.npz,omega_study
LED_a,config_12,5,w0.05,0.05,False,0.6735353535353535,0.6693535777919135,1,99000,448.2,config_12_LED_a_5labels_w0.05.npz,omega_study
LED_a,config_12,5,w0.25,0.25,False,0.6808484848484848,0.6759593070844477,1,99000,471.3,config_12_LED_a_5labels_w0.25.npz,omega_study
LED_a,config_12,5,w0.50,0.5,False,0.6768585858585858,0.6748041085605674,1,99000,492.6,config_12_LED_a_5labels_w0.50.npz,omega_study
LED_a,config_12,5,w0.75,0.75,False,0.6798080808080809,0.6776276749538919,1,99000,511.4,config_12_LED_a_5labels_w0.75.npz,omega_study
LED_a,config_12,1,w0.05,0.05,False,0.5794040404040404,0.5697396038806319,0,99000,345.0,config_12_LED_a_1labels_w0.05.npz,omega_study
LED_a,config_12,1,w0.25,0.25,False,0.5868282828282828,0.5768824179119614,0,99000,355.7,config_12_LED_a_1labels_w0.25.npz,omega_study
LED_a,config_12,5,w0.95,0.95,False,0.6818484848484848,0.6800827744232328,1,99000,496.9,config_12_LED_a_5labels_w0.95.npz,omega_study
LED_a,config_12,1,w0.50,0.5,False,0.5785656565656566,0.5666984460989333,0,99000,362.0,config_12_LED_a_1labels_w0.50.npz,omega_study
LED_a,config_12,1,w0.75,0.75,False,0.5795252525252526,0.5681169405355989,0,99000,362.2,config_12_LED_a_1labels_w0.75.npz,omega_study
LED_a,config_12,1,w0.95,0.95,False,0.5798888888888889,0.5682903360522642,0,99000,364.5,config_12_LED_a_1labels_w0.95.npz,omega_study
LED_g,config_12,5,w0.05,0.05,False,0.6382323232323233,0.6325586682438343,1,99000,438.3,config_12_LED_g_5labels_w0.05.npz,omega_study
LED_g,config_12,5,w0.25,0.25,False,0.6479292929292929,0.6429584838703818,1,99000,459.7,config_12_LED_g_5labels_w0.25.npz,omega_study
LED_g,config_12,5,w0.50,0.5,False,0.6441414141414141,0.6388013541635071,1,99000,477.8,config_12_LED_g_5labels_w0.50.npz,omega_study
LED_g,config_12,1,w0.05,0.05,False,0.5147575757575757,0.5048814200726114,0,99000,346.8,config_12_LED_g_1labels_w0.05.npz,omega_study
LED_g,config_12,5,w0.75,0.75,False,0.6418282828282829,0.6369032808463582,1,99000,485.1,config_12_LED_g_5labels_w0.75.npz,omega_study
LED_g,config_12,5,w0.95,0.95,False,0.6503030303030303,0.6465825813462518,1,99000,481.6,config_12_LED_g_5labels_w0.95.npz,omega_study
LED_g,config_12,1,w0.25,0.25,False,0.5265151515151515,0.5143213787856181,0,99000,345.9,config_12_LED_g_1labels_w0.25.npz,omega_study
LED_g,config_12,1,w0.50,0.5,False,0.5362727272727272,0.5247704404182926,0,99000,340.8,config_12_LED_g_1labels_w0.50.npz,omega_study
LED_g,config_12,1,w0.75,0.75,False,0.5222323232323233,0.5107768764102524,0,99000,333.7,config_12_LED_g_1labels_w0.75.npz,omega_study
LED_g,config_12,1,w0.95,0.95,False,0.5398181818181819,0.5264693259884266,0,99000,294.7,config_12_LED_g_1labels_w0.95.npz,omega_study
