target,label_pct,winner,loser,k_datasets,mean_gap,cohens_d,win_rate,breakdown_point,fail_magnitude,fail_consistency,fail_stability,fragile
global_acc,5,config_0,config_1,9,0.0018540740740740696,0.10343719056864534,0.4444444444444444,0.1111111111111111,True,True,True,True
global_acc,5,config_10,config_0,9,0.004974814814814839,0.18388260979120638,0.5555555555555556,0.2222222222222222,True,True,False,True
global_acc,5,config_11,config_0,9,0.0006177777777777788,0.03533873284727394,0.4444444444444444,0.1111111111111111,True,True,True,True
global_acc,5,config_12,config_0,9,0.005649629629629647,0.26315230263468486,0.4444444444444444,0.2222222222222222,False,True,False,True
global_acc,5,config_0,config_13,9,0.012610370370370334,0.49226367161271295,0.6666666666666666,0.3333333333333333,False,False,False,False
global_acc,5,config_2,config_0,9,0.00017629629629631636,0.008655388873870275,0.5555555555555556,0.1111111111111111,True,True,True,True
global_acc,5,config_3,config_0,9,0.00024074074074076357,0.014786086843819981,0.5555555555555556,0.1111111111111111,True,True,True,True
global_acc,5,config_4,config_0,9,0.0049029629629629735,0.27055668672091004,0.4444444444444444,0.2222222222222222,False,True,False,True
global_acc,5,config_0,config_5,9,0.015522962962962948,0.5403880058538598,0.6666666666666666,0.4444444444444444,False,False,False,False
global_acc,5,config_0,config_6,9,0.015848888888888874,0.773265872942951,0.8888888888888888,0.5555555555555556,False,False,False,False
global_acc,5,config_0,config_7,9,0.014529629629629622,0.5041386732402964,0.7777777777777778,0.4444444444444444,False,False,False,False
global_acc,5,config_0,config_8,9,0.013614074074074063,0.6900770048879179,0.7777777777777778,0.4444444444444444,False,False,False,False
global_acc,5,config_9,config_0,9,0.0023651851851851863,0.11169156805500724,0.6666666666666666,0.1111111111111111,True,False,True,True
global_acc,5,config_0,config_base,9,0.010645185185185178,0.467793688465793,0.4444444444444444,0.2222222222222222,False,True,False,True
global_acc,5,config_10,config_1,9,0.006828888888888909,0.5180851092194739,0.5555555555555556,0.3333333333333333,False,True,False,True
global_acc,5,config_11,config_1,9,0.0024718518518518483,0.26972213121187083,0.5555555555555556,0.2222222222222222,False,True,False,True
global_acc,5,config_12,config_1,9,0.007503703703703716,0.5009367379692703,0.6666666666666666,0.3333333333333333,False,False,False,False
global_acc,5,config_1,config_13,9,0.010756296296296264,0.8076157600833028,0.7777777777777778,0.5555555555555556,False,False,False,False
global_acc,5,config_2,config_1,9,0.002030370370370386,0.30560646703492106,0.4444444444444444,0.2222222222222222,False,True,False,True
global_acc,5,config_3,config_1,9,0.002094814814814833,0.7078855768174852,0.6666666666666666,0.5555555555555556,False,False,False,False
global_acc,5,config_4,config_1,9,0.006757037037037043,0.9649890710011991,0.6666666666666666,0.6666666666666666,False,False,False,False
global_acc,5,config_1,config_5,9,0.013668888888888878,0.9046288621024504,0.8888888888888888,0.6666666666666666,False,False,False,False
