target,label_pct,winner,loser,k_datasets,mean_gap,cohens_d,win_rate,breakdown_point,fail_magnitude,fail_consistency,fail_stability,fragile
global_acc,5,config_0,config_1,9,0.005300000000000021,0.26741513523628346,0.6666666666666666,0.2222222222222222,False,False,False,False
global_acc,5,config_0,config_10,9,0.004477777777777791,0.11275489551867655,0.3333333333333333,0.1111111111111111,True,True,True,True
global_acc,5,config_11,config_0,9,0.0004777777777777868,0.028744945129211136,0.4444444444444444,0.1111111111111111,True,True,True,True
global_acc,5,config_12,config_0,9,0.007077777777777763,0.3415951544371818,0.5555555555555556,0.2222222222222222,False,True,False,True
global_acc,5,config_0,config_13,9,0.01994444444444443,0.7456699341312519,0.6666666666666666,0.5555555555555556,False,False,False,False
global_acc,5,config_2,config_0,9,0.004988888888888882,0.19998822034525118,0.6666666666666666,0.2222222222222222,True,False,False,True
global_acc,5,config_0,config_3,9,0.0017555555555555473,0.10297969962933384,0.6666666666666666,0.1111111111111111,True,False,True,True
global_acc,5,config_4,config_0,9,0.003455555555555557,0.18396293952490456,0.5555555555555556,0.1111111111111111,True,True,True,True
global_acc,5,config_0,config_5,9,0.021855555555555566,0.6940719290514892,0.6666666666666666,0.4444444444444444,False,False,False,False
global_acc,5,config_0,config_6,9,0.018255555555555542,0.8783383343884159,0.7777777777777778,0.5555555555555556,False,False,False,False
global_acc,5,config_0,config_7,9,0.020411111111111095,0.7016070239821488,0.6666666666666666,0.4444444444444444,False,False,False,False
global_acc,5,config_0,config_8,9,0.019844444444444442,0.9285656402779728,0.6666666666666666,0.6666666666666666,False,False,False,False
global_acc,5,config_0,config_9,9,0.005255555555555545,0.14653320708196543,0.3333333333333333,0.1111111111111111,True,True,True,True
global_acc,5,config_0,config_base,9,0.013411111111111115,0.5695876292412557,0.5555555555555556,0.3333333333333333,False,True,False,True
global_acc,5,config_10,config_1,9,0.0008222222222222304,0.032141250675974446,0.5555555555555556,0.1111111111111111,True,True,True,True
global_acc,5,config_11,config_1,9,0.005777777777777808,0.42911291006963626,0.6666666666666666,0.3333333333333333,False,False,False,False
global_acc,5,config_12,config_1,9,0.012377777777777784,0.6343392968496185,0.6666666666666666,0.4444444444444444,False,False,False,False
global_acc,5,config_1,config_13,9,0.014644444444444411,1.0317844195657841,0.8888888888888888,0.6666666666666666,False,False,False,False
global_acc,5,config_2,config_1,9,0.010288888888888903,0.5307387290769063,0.5555555555555556,0.3333333333333333,False,True,False,True
global_acc,5,config_3,config_1,9,0.0035444444444444733,0.7233141692552949,0.7777777777777778,0.5555555555555556,False,False,False,False
global_acc,5,config_4,config_1,9,0.008755555555555579,0.9658282532392632,0.7777777777777778,0.6666666666666666,False,False,False,False
