target,label_pct,n_pairs,fragility_rate,fragility_vs_sleade
global_acc,5,105,0.3238095238095238,0.6428571428571429
global_acc,1,105,0.24761904761904763,0.5714285714285714
f1_score,5,105,0.29523809523809524,0.6428571428571429
f1_score,1,105,0.14285714285714285,0.35714285714285715
