table,target,label_pct,feature,coef_pp,ci_lo,ci_hi,p_value,fanova_importance,ols_r2
table4_everything,global_acc,5,inf_margin,0.6362239583332947,0.1691142178810784,1.103333698785511,0.008042893060542667,0.22888545188319342,0.9877840543529701
table4_everything,global_acc,5,inf_acc,0.7957795138889274,0.328669773436711,1.2628892543411439,0.0010149256424829077,0.3209640983522045,0.9877840543529701
table4_everything,global_acc,5,inf_div,0.3421019965277661,-0.12791811314378104,0.8121221061993131,0.1520407141608411,0.05454623620494922,0.9877840543529701
table4_everything,global_acc,5,tr_margin,-0.31968359375002553,-0.7658895467953879,0.1265223592953369,0.15850016747740944,0.07756724586894623,0.9877840543529701
table4_everything,global_acc,5,tr_disagree,-0.2727252604166861,-0.718931213462048,0.17348069262867577,0.22840937720849294,0.26260425703434287,0.9877840543529701
table4_everything,global_acc,5,tr_acc,0.02150651041666851,-0.3727794906131077,0.41579251144644475,0.9141230312331239,0.05543270990407583,0.9877840543529701
table4_everything,global_acc,1,inf_margin,1.5159930555555148,0.6637707923952794,2.36821531871575,0.0006165703230757027,0.3794076376191075,0.9759524331294537
table4_everything,global_acc,1,inf_acc,0.8255486111111487,-0.026673652049087004,1.6777708742713844,0.057482394895111935,0.11378667538458072,0.9759524331294537
table4_everything,global_acc,1,inf_div,0.28942534722221147,-0.5681067633420382,1.1469574577864612,0.5050129668173082,0.01400800520789688,0.9759524331294537
table4_everything,global_acc,1,tr_margin,-0.897821180555582,-1.711905354376805,-0.08373700673435902,0.03096136332653562,0.13820618293175924,0.9759524331294537
table4_everything,global_acc,1,tr_disagree,0.41912326388887333,-0.3949609099323488,1.2332074377100954,0.3098566398022766,0.2922859580624973,0.9759524331294537
table4_everything,global_acc,1,tr_acc,-0.4839704861111169,-1.2033288702987155,0.23538789807648164,0.18520900377249383,0.06230554014614983,0.9759524331294537
table4_everything,f1_score,5,inf_margin,3.4815937499999303,1.5661652962956734,5.3970222037041875,0.00047416170034829034,0.3390452195938984,0.8282066384920265
table4_everything,f1_score,5,inf_acc,0.5369270833333983,-1.3785013703708593,2.452355537037656,0.5796932248592784,0.2815425028175904,0.8282066384920265
table4_everything,f1_score,5,inf_div,0.5137300347222196,-1.413632668111791,2.44109273755623,0.598430249029101,0.040154526509138644,0.8282066384920265
table4_everything,f1_score,5,tr_margin,-0.3821918402778042,-2.2119023015665964,1.447518621010988,0.6797374200518984,0.047687990750615396,0.8282066384920265
table4_everything,f1_score,5,tr_disagree,0.47983593749998166,-1.3498745237888083,2.309546398788772,0.604335470182499,0.2330724179713375,0.8282066384920265
