table,target,label_pct,feature,coef_pp,ci_lo,ci_hi,p_value,fanova_importance,ols_r2
table4_everything,global_acc,5,inf_margin,0.9122222222221161,0.06449539673978633,1.759949047704446,0.03520107872846909,0.22888545188319342,0.9882370289153636
table4_everything,global_acc,5,inf_acc,1.0717777777776845,0.224050952295354,1.919504603260015,0.013718415779391606,0.3209640983522045,0.9882370289153636
table4_everything,global_acc,5,inf_div,0.4911111111110795,-0.3566157143712495,1.3388379365934084,0.2532625471920396,0.05454623620494922,0.9882370289153636
table4_everything,global_acc,5,tr_margin,-0.4564444444444693,-1.3041712699267993,0.39128238103786084,0.28811288897404164,0.07756724586894623,0.9882370289153636
table4_everything,global_acc,5,tr_disagree,-0.3686666666667273,-1.2163934921490571,0.4790601588156024,0.39045155818866756,0.26260425703434287,0.9882370289153636
table4_everything,global_acc,5,tr_acc,-0.18222222222227524,-1.0299490477046054,0.6655046032600548,0.6707981109185505,0.05543270990407583,0.9882370289153636
table4_everything,global_acc,1,inf_margin,1.6544444444443487,0.09535475352885103,3.213534135359846,0.03776083964815929,0.3794076376191075,0.976469913562826
table4_everything,global_acc,1,inf_acc,0.9639999999999147,-0.5950896909155845,2.523089690915414,0.2229184336519462,0.11378667538458072,0.976469913562826
table4_everything,global_acc,1,inf_div,0.41644444444442374,-1.1426452464710726,1.97553413535992,0.5974599424370752,0.01400800520789688,0.976469913562826
table4_everything,global_acc,1,tr_margin,-1.3266666666666926,-2.885756357582191,0.23242302424880612,0.09452086341685087,0.13820618293175924,0.976469913562826
table4_everything,global_acc,1,tr_disagree,0.06755555555550163,-1.491534135359996,1.6266452464709993,0.9316910304852908,0.2922859580624973,0.976469913562826
table4_everything,global_acc,1,tr_acc,-1.1093333333333835,-2.668423024248882,0.44975635758211485,0.16123392625001032,0.06230554014614983,0.976469913562826
table4_everything,f1_score,5,inf_margin,2.469111111111026,-1.0393958534361558,5.977618075658208,0.1658189247556989,0.3390452195938984,0.8314863339470471
table4_everything,f1_score,5,inf_acc,-0.4755555555556352,-3.9840625201028206,3.03295140899155,0.7886253238206766,0.2815425028175904,0.8314863339470471
table4_everything,f1_score,5,inf_div,0.5804444444444199,-2.9280625201027592,4.0889514089915995,0.7435167537407235,0.040154526509138644,0.8314863339470471
table4_everything,f1_score,5,tr_margin,-1.797111111111129,-5.305618075658313,1.7113958534360554,0.31210936790797184,0.047687990750615396,0.8314863339470471
table4_everything,f1_score,5,tr_disagree,-1.0215555555556075,-4.530062520102789,2.4869514089915743,0.5649227347505004,0.2330724179713375,0.8314863339470471
table4_everything,f1_score,5,tr_acc,-2.2248888888889344,-5.733395853436118,1.2836180756582491,0.2113797616427828,0.058497341660118884,0.8314863339470471
table4_everything,f1_score,1,inf_margin,5.7764444444443726,1.9607656020039932,9.592123286884751,0.0033581122539655807,0.4152334645352682,0.9001792109283393
table4_everything,f1_score,1,inf_acc,1.7973333333332726,-2.0183455091071103,5.6130121757736555,0.35242225731231874,0.15396258707360275,0.9001792109283393
table4_everything,f1_score,1,inf_div,0.6695555555555339,-3.1461232868848428,4.48523439799591,0.7285636733902244,0.010085649636681354,0.9001792109283393
table4_everything,f1_score,1,tr_margin,-1.8260000000000178,-5.6416788424404,1.9896788424403642,0.3448276482615026,0.09854415264845963,0.9001792109283393
table4_everything,f1_score,1,tr_disagree,1.522666666666624,-2.2930121757737556,5.338345509107003,0.430545799254419,0.2838422566552976,0.9001792109283393
table4_everything,f1_score,1,tr_acc,-1.4528888888889218,-5.268567731329302,2.362789953551459,0.4519090808291143,0.03833188881429488,0.9001792109283393
table5_inference,global_acc,5,inf_margin,0.9122222222222209,0.2721488119662313,1.5522956324782107,0.006643013525302159,0.4268616724018464,0.9943248041522207
table5_inference,global_acc,5,inf_acc,1.0717777777777908,0.43170436752180175,1.71185118803378,0.001771019509841472,0.44400824783257486,0.9943248041522207
table5_inference,global_acc,5,inf_div,0.49111111111110906,-0.14896229914488035,1.1311845213670986,0.12791653070982814,0.12913007901786286,0.9943248041522207
table5_inference,global_acc,1,inf_margin,1.65444444444445,0.937826570489192,2.3710623183997077,4.706657424404648e-05,0.752099752934626,0.9956621166354407
table5_inference,global_acc,1,inf_acc,0.9640000000000059,0.24738212604474863,1.680617873955263,0.009960392238090194,0.19516630007625085,0.9956621166354407
table5_inference,global_acc,1,inf_div,0.41644444444444284,-0.3001734295108148,1.1330623183997006,0.24524579725312176,0.05273394632585113,0.9956621166354407
table5_inference,f1_score,5,inf_margin,2.469111111111123,-1.2400314130711725,6.178253635293418,0.1846069166806407,0.5205836695316884,0.8316571867333576
table5_inference,f1_score,5,inf_acc,-0.4755555555555272,-4.184698079737819,3.2335869686267644,0.7956436042250213,0.40292502550841636,0.8316571867333576
table5_inference,f1_score,5,inf_div,0.5804444444444543,-3.1286980797378394,4.2895869686267485,0.7519798001663851,0.0764913042648703,0.8316571867333576
table5_inference,f1_score,1,inf_margin,5.776444444444454,1.6001991337965134,9.952689755092395,0.00822893011633168,0.7047502752846185,0.8949650685879194
table5_inference,f1_score,1,inf_acc,1.7973333333333383,-2.378911977314599,5.973578643981275,0.3872179943528344,0.2588006006172426,0.8949650685879194
table5_inference,f1_score,1,inf_div,0.6695555555555535,-3.5066897550923866,4.8458008662034935,0.7461189092410112,0.036449123444635655,0.8949650685879194
