table,target,label_pct,feature,coef_pp,ci_lo,ci_hi,p_value,fanova_importance,ols_r2
table4_everything,global_acc,5,inf_margin,0.385625000000025,-0.3746194726630595,1.1458694726631093,0.31702216215916534,0.16232824044677632,0.9682211909420011
table4_everything,global_acc,5,inf_acc,1.414513888888878,0.6542694162257935,2.1747583615519623,0.00035294483067484987,0.2942388510603575,0.9682211909420011
table4_everything,global_acc,5,inf_div,0.2453993055555621,-0.5195819386213499,1.0103805497324743,0.5263003703928146,0.03616377523607149,0.9682211909420011
table4_everything,global_acc,5,tr_margin,-0.6636631944444438,-1.3898857072605773,0.06255931837168971,0.07286606585337861,0.1990533351570731,0.9682211909420011
table4_everything,global_acc,5,tr_disagree,-0.12727430555555763,-0.8534968183716906,0.5989482072605753,0.7290385886711717,0.2503798104692499,0.9682211909420011
table4_everything,global_acc,5,tr_acc,-0.2125868055555351,-0.8543069988469919,0.4291333877359217,0.5128954920264026,0.05783598697504782,0.9682211909420011
table4_everything,global_acc,1,inf_margin,1.6404166666667153,0.677969583505197,2.6028637498282334,0.0010096511373613214,0.3076202568772461,0.9718888284354944
table4_everything,global_acc,1,inf_acc,1.3248611111110775,0.36241402794955924,2.2873081942725957,0.007415000816573287,0.18642694150748998,0.9718888284354944
table4_everything,global_acc,1,inf_div,0.12107638888889038,-0.8473673073241066,1.0895200851018874,0.8047943083282953,0.00946756869864941,0.9718888284354944
table4_everything,global_acc,1,tr_margin,-0.9598263888888887,-1.8792026741747774,-0.040450103603000054,0.0408923262318845,0.1373936090908868,0.9718888284354944
table4_everything,global_acc,1,tr_disagree,0.594340277777776,-0.3250360075081121,1.5137165630636642,0.20286209741532168,0.2974923114423728,0.9718888284354944
table4_everything,global_acc,1,tr_acc,-0.4993402777777628,-1.311739118476626,0.31305856292110035,0.225818650930018,0.061599311696933556,0.9718888284354944
table4_everything,f1_score,5,inf_margin,3.6949305555555343,1.3466243133747686,6.0432367977363,0.0023201506797420023,0.27225681119875333,0.7676704900876251
table4_everything,f1_score,5,inf_acc,1.6182638888889227,-0.7300423532918425,3.966570131069688,0.17484533312982153,0.26036114140163424,0.7676704900876251
table4_everything,f1_score,5,inf_div,0.3166840277777885,-2.046253547498686,2.679621603054263,0.7910613026167098,0.024412466849036828,0.7676704900876251
table4_everything,f1_score,5,tr_margin,-0.8320312500000029,-3.0752476381237495,1.411185138123744,0.46389997984284626,0.15789077652108258,0.7676704900876251
