instance,rolling_acc,active_real_acc,active_pred_acc,active_real_div,active_pred_div,pool_real_acc,pool_real_div,K,lambda,drift_count,n_swapped,mean_margin,mean_A_inst,mean_C,mean_w,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
500,0.89,0.7647999999999999,0.7681989479308197,0.24879080459770117,0.2394310344827586,0.7541428571428571,0.2406666666666667,18,0.95,0,0,0.8202163703376514,0.7710290787486288,0.7715584025072075,0.7660731148069745,0,0,,,,,0
1000,0.93,0.7565666666666666,0.7294035578356354,0.27501839080459767,0.2540737777777776,0.7406285714285713,0.2779287784679089,18,0.95,0,0,0.7922809502426272,0.8961807213140774,0.7993632686457989,0.7541567064464376,0,0,,,,,0
1500,0.93,0.7563000000000001,0.6901493589791058,0.2804022988505747,0.278676735019157,0.7398428571428571,0.28364347826086955,18,0.95,0,0,0.7547614430646772,0.7134276146838411,0.6856058806177887,0.6768487313524756,401,207,0.24417871638711047,0.9518994574895979,0.010198149319992283,0.835505114511563,24200
2000,0.93,0.7590333333333332,0.7149711234135921,0.2802965517241379,0.3119514906286589,0.7422285714285713,0.28430393374741203,18,0.95,0,0,0.6947635817496322,0.7651806454467562,0.6444597899207561,0.6599239531805731,746,399,0.2526778981808722,0.9533548735905888,0.020880494561019307,0.8400067588580576,45528
2500,0.96,0.7607666666666668,0.7966129069950856,0.27914252873563217,0.310205643657514,0.7441428571428571,0.28310144927536235,18,0.95,0,0,0.8395725943075021,0.8419413073533548,0.7919000404742588,0.7883845891198891,1063,580,0.25828118693228236,0.9512443085854795,0.01878920555071813,0.839996400416501,65998
3000,0.93,0.7601666666666668,0.7951519646026579,0.27884367816091954,0.29590378150666996,0.7437142857142858,0.28271966873706006,18,0.95,0,0,0.806187790611673,0.6198078743442437,0.6855849155067394,0.7331144031110198,1317,741,0.2554170041234262,0.9544675735111173,0.009387552085785091,0.8402461837861163,87599
3500,0.95,0.7569666666666667,0.6693578755196246,0.28132643678160923,0.2835024661412803,0.7401,0.2841801242236025,18,0.95,0,0,0.7277133508518233,0.7082720805449093,0.659350301771761,0.6434143672047291,1671,925,0.2564905629791374,0.9550193803468925,0.011312600394527994,0.8419524088719825,108892
4000,0.96,0.7582,0.904842359974899,0.280432183908046,0.2700131799057147,0.7418428571428571,0.2815855072463768,18,0.95,0,0,0.8418576159842247,0.8763954265675962,0.8244466262369088,0.8624642496237281,2168,1124,0.2607115536260363,0.9548764931900229,0.014077838647536272,0.8454503715136525,129893
4500,0.92,0.7583666666666667,0.7203074863067653,0.2805126436781609,0.25746296387528955,0.7421857142857143,0.2798919254658385,18,0.95,0,0,0.7868000249450049,0.7428684144613276,0.7329228756011503,0.7141455797203958,2570,1294,0.26284254780983846,0.9555028982220214,0.017933583652174775,0.8500345796747738,150749
5000,0.93,0.7563,0.8378935562641998,0.28216781609195407,0.24519477543518264,0.7412857142857143,0.28000165631469975,18,0.95,0,0,0.7843942239039658,0.9065204462963995,0.8236556648502887,0.8245783804540531,2917,1464,0.2632678210828751,0.9573562239811988,0.01841175845050776,0.8517719118078534,173418
5500,0.94,0.7574333333333334,0.8562755232701653,0.2815977011494253,0.24139932294518351,0.7427142857142858,0.2791072463768116,18,0.95,0,0,0.4639055850202144,0.9635457278493388,0.5967374062129831,0.7123721125205144,3128,1609,0.2626005312732295,0.9582657825883425,0.018792450904247523,0.8533307313304149,194221
6000,0.94,0.7586666666666666,0.884258430056444,0.27993563218390805,0.21975625104908325,0.7441,0.2778944099378882,18,0.95,0,0,0.8079855579428542,0.9414285587734837,0.84062797602731,0.8606509740480289,3233,1702,0.2600298689098115,0.9589289006803258,0.019019999716072402,0.8535034745701102,214447
6500,0.92,0.7567666666666667,0.5572087663095113,0.282016091954023,0.20340041446451662,0.7415428571428572,0.27907991718426506,18,0.95,0,0,0.7478009208755796,0.6297917055913312,0.6346066085014848,0.5689511376819298,3481,1883,0.2523824954878622,0.9591399511865613,0.017153772805489766,0.8525990645917958,236106
7000,0.97,0.756,0.7924048281828596,0.28208735632183907,0.2033654903667519,0.7415142857142858,0.27718509316770185,18,0.95,0,0,0.7090241029098681,0.7518367065946211,0.6972294252923259,0.7370619485762596,3801,2087,0.2513361650729704,0.9593247951147584,0.01821195784444707,0.8530872074041093,256442
7500,0.89,0.7528666666666666,0.68322082656519,0.28578390804597703,0.2232082586623073,0.7389714285714286,0.27950393374741206,18,0.95,0,0,0.7327463958117597,0.6067137845418705,0.620119569947631,0.6364565861226334,4047,2238,0.2513941235224364,0.9591690807699641,0.01848850151825746,0.852663436796787,278098
8000,0.93,0.7553666666666667,0.8141001472423992,0.2853310344827586,0.24142751119372208,0.7428999999999999,0.27625465838509317,18,0.95,0,0,0.4639414213018887,0.7663955735423593,0.45293210395542016,0.6035944883976564,4390,2418,0.25386747927758824,0.9592343323489884,0.019292157308142998,0.8529344984174084,299182
8500,0.99,0.7567666666666668,0.8677154912729956,0.28475632183908045,0.2536744347501889,0.7457857142857143,0.27416107660455485,18,0.95,0,0,0.3933820003964163,0.9132208218113272,0.4986692739655405,0.6555051821583645,4787,2611,0.2567983143986375,0.9591009749084443,0.020970185149273974,0.8535675165886253,319579
9000,0.92,0.7548666666666667,0.6423762073114753,0.28738850574712643,0.27951904852313114,0.7440714285714287,0.2755399585921325,18,0.95,0,0,0.4778569142502255,0.5792466174377576,0.4722135361365641,0.54377609175174,5263,2824,0.2586155403375462,0.9587515843668944,0.02167202871651024,0.8537048009202403,341755
9500,0.93,0.7555999999999998,0.6847076651803765,0.28897931034482754,0.2947926968019303,0.7450428571428571,0.27475486542443067,18,0.95,0,0,0.7195130940551152,0.6849802271525739,0.6498562252621577,0.6454299250953798,5780,3031,0.26434442211294684,0.9585163146281587,0.022014012335169912,0.8538685093531585,364072
10000,0.93,0.7572333333333335,0.8131181866832983,0.28831034482758616,0.30917671133730074,0.7475428571428571,0.27212670807453415,18,0.95,0,0,0.7606450646203543,0.8121836727457268,0.7394210969972626,0.7676439252911883,6266,3228,0.26785161818314657,0.957308561563577,0.021109104384954055,0.8528660764936702,384865
10500,0.96,0.7596333333333334,0.8351465916715536,0.28536321839080464,0.2987659688190909,0.7512428571428571,0.2667706004140787,18,0.95,0,0,0.8385977859079368,0.7860431867061508,0.782657284185632,0.8029725942530256,6652,3443,0.2683385162786733,0.9574369462981366,0.021254708005035504,0.853363048558508,403847
11000,0.94,0.7593666666666667,0.7891379538335036,0.28442528735632183,0.24636670477100664,0.7517571428571429,0.2644517598343686,16,0.95,0,0,0.795937641661197,0.7983467460890176,0.7704767639681901,0.771535689911721,6972,3638,0.26878762610756957,0.9577828283647252,0.020772753942535062,0.8533822602982191,423398
