dataset,config,label_pct,diversity_measure,seed,use_mmr,use_pseudo_label,unsup_drift,inference_relevance,global_acc,f1_score,drift_count,total_instances,elapsed_s,error,inference_mode,training_mode,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_pool_updates,lbd_gap_pre_mean,lbd_conf_pre_mean
airlines_without_AirportToFrom,config_3,5,disagreement,42,False,False,False,instance,0.6439,0.6286,3,538383,989.0,,sqrtAM,none,,,,,,,
airlines_without_AirportToFrom,config_3,1,disagreement,42,False,False,False,instance,0.6281,0.6077,0,538383,671.0,,sqrtAM,none,,,,,,,
RBF_a,config_0,1,disagreement,42,False,True,False,capymoa_sleade,0.519,0.506,-1,99000,114.1,,capymoa,capymoa,,,,,,,
RBF_a,config_0,5,disagreement,42,False,True,False,capymoa_sleade,0.7576,0.7554,-1,99000,118.4,,capymoa,capymoa,,,,,,,
RBF_a,config_3,5,disagreement,42,False,False,False,instance,0.7522,0.7496,8,99000,176.9,,sqrtAM,none,,,,,,,
RBF_a,config_3,1,disagreement,42,False,False,False,instance,0.6051,0.6033,3,99000,135.5,,sqrtAM,none,,,,,,,
NOAA,config_1,5,disagreement,42,False,False,False,margin,0.7475,0.6543,0,17159,34.0,,margin,none,,,,,,,
NOAA,config_1,1,disagreement,42,False,False,False,margin,0.7471,0.6473,0,17159,23.1,,margin,none,,,,,,,
NOAA,config_2,5,disagreement,42,False,False,False,mlhat_A,0.7505,0.6619,0,17159,26.2,,mlhat_A,none,,,,,,,
NOAA,config_2,1,disagreement,42,False,False,False,mlhat_A,0.7461,0.6519,0,17159,23.0,,mlhat_A,none,,,,,,,
NOAA,config_4,5,disagreement,42,True,False,False,mmr,0.7512,0.661,0,17159,28.5,,mmr,none,,,,,,,
NOAA,config_4,1,disagreement,42,True,False,False,mmr,0.7477,0.6527,0,17159,24.9,,mmr,none,,,,,,,
Electricity,config_1,5,disagreement,42,False,False,False,margin,0.7946,0.7825,0,44312,82.8,,margin,none,,,,,,,
Electricity,config_1,1,disagreement,42,False,False,False,margin,0.7585,0.7344,0,44312,72.2,,margin,none,,,,,,,
Electricity,config_2,5,disagreement,42,False,False,False,mlhat_A,0.7937,0.5217,0,44312,83.9,,mlhat_A,none,,,,,,,
Electricity,config_2,1,disagreement,42,False,False,False,mlhat_A,0.7528,0.486,0,44312,71.1,,mlhat_A,none,,,,,,,
Electricity,config_4,5,disagreement,42,True,False,False,mmr,0.8063,0.7968,0,44312,88.2,,mmr,none,,,,,,,
Electricity,config_4,1,disagreement,42,True,False,False,mmr,0.7577,0.7376,0,44312,146.8,,mmr,none,,,,,,,
AGR_g,config_1,5,disagreement,42,False,False,False,margin,0.7707,0.7652,4,99000,374.4,,margin,none,,,,,,,
AGR_g,config_1,1,disagreement,42,False,False,False,margin,0.7257,0.709,2,99000,281.3,,margin,none,,,,,,,
AGR_g,config_2,5,disagreement,42,False,False,False,mlhat_A,0.8196,0.8116,13,99000,361.7,,mlhat_A,none,,,,,,,
AGR_g,config_2,1,disagreement,42,False,False,False,mlhat_A,0.7278,0.7064,3,99000,252.9,,mlhat_A,none,,,,,,,
AGR_g,config_4,5,disagreement,42,True,False,False,mmr,0.7919,0.7865,5,99000,306.2,,mmr,none,,,,,,,
AGR_g,config_4,1,disagreement,42,True,False,False,mmr,0.7334,0.7168,2,99000,308.3,,mmr,none,,,,,,,
AGR_a,config_1,5,disagreement,42,False,False,False,margin,0.7594,0.7554,2,99000,158.7,,margin,none,,,,,,,
AGR_a,config_1,1,disagreement,42,False,False,False,margin,0.6801,0.6794,0,99000,145.9,,margin,none,,,,,,,
AGR_a,config_2,5,disagreement,42,False,False,False,mlhat_A,0.7973,0.7963,10,99000,162.9,,mlhat_A,none,,,,,,,
AGR_a,config_2,1,disagreement,42,False,False,False,mlhat_A,0.669,0.6685,1,99000,131.4,,mlhat_A,none,,,,,,,
AGR_a,config_4,5,disagreement,42,True,False,False,mmr,0.7784,0.7756,5,99000,173.0,,mmr,none,,,,,,,
AGR_a,config_4,1,disagreement,42,True,False,False,mmr,0.6862,0.6854,0,99000,156.0,,mmr,none,,,,,,,
LED_a,config_1,5,disagreement,42,False,False,False,margin,0.6576,0.6539,1,99000,393.5,,margin,none,,,,,,,
LED_a,config_1,1,disagreement,42,False,False,False,margin,0.5339,0.5165,0,99000,305.0,,margin,none,,,,,,,
LED_a,config_2,5,disagreement,42,False,False,False,mlhat_A,0.6641,0.6635,1,99000,371.6,,mlhat_A,none,,,,,,,
LED_a,config_2,1,disagreement,42,False,False,False,mlhat_A,0.5334,0.5198,0,99000,287.1,,mlhat_A,none,,,,,,,
LED_a,config_4,5,disagreement,42,True,False,False,mmr,0.6734,0.6716,1,99000,387.3,,mmr,none,,,,,,,
LED_a,config_4,1,disagreement,42,True,False,False,mmr,0.5533,0.5392,0,99000,309.1,,mmr,none,,,,,,,
LED_g,config_1,5,disagreement,42,False,False,False,margin,0.6221,0.6161,2,99000,379.8,,margin,none,,,,,,,
LED_g,config_1,1,disagreement,42,False,False,False,margin,0.4746,0.4592,0,99000,293.8,,margin,none,,,,,,,
LED_g,config_2,5,disagreement,42,False,False,False,mlhat_A,0.6193,0.6164,1,99000,384.9,,mlhat_A,none,,,,,,,
LED_g,config_2,1,disagreement,42,False,False,False,mlhat_A,0.4895,0.4841,1,99000,292.0,,mlhat_A,none,,,,,,,
LED_g,config_4,5,disagreement,42,True,False,False,mmr,0.6315,0.6274,1,99000,396.3,,mmr,none,,,,,,,
LED_g,config_4,1,disagreement,42,True,False,False,mmr,0.4924,0.481,0,99000,316.6,,mmr,none,,,,,,,
RBF_m,config_0,5,disagreement,42,False,True,False,capymoa_sleade,0.82,0.8035,-1,99000,82.5,,capymoa,capymoa,,,,,,,
RBF_m,config_0,1,disagreement,42,False,True,False,capymoa_sleade,0.73,0.6959,-1,99000,82.2,,capymoa,capymoa,,,,,,,
RBF_m,config_1,5,disagreement,42,False,False,False,margin,0.826,0.8095,4,99000,265.6,,margin,none,,,,,,,
RBF_m,config_1,1,disagreement,42,False,False,False,margin,0.7714,0.7519,3,99000,135.9,,margin,none,,,,,,,
RBF_m,config_2,5,disagreement,42,False,False,False,mlhat_A,0.8217,0.8066,5,99000,140.0,,mlhat_A,none,,,,,,,
RBF_m,config_2,1,disagreement,42,False,False,False,mlhat_A,0.7693,0.7488,5,99000,109.4,,mlhat_A,none,,,,,,,
RBF_m,config_3,5,disagreement,42,False,False,False,sqrtAM,0.824,0.8066,4,99000,139.5,,sqrtAM,none,,,,,,,
RBF_m,config_3,1,disagreement,42,False,False,False,sqrtAM,0.7737,0.7556,2,99000,109.7,,sqrtAM,none,,,,,,,
RBF_m,config_4,5,disagreement,42,True,False,False,mmr,0.8235,0.8069,4,99000,145.6,,mmr,none,,,,,,,
RBF_m,config_4,1,disagreement,42,True,False,False,mmr,0.7723,0.7533,3,99000,120.1,,mmr,none,,,,,,,
RBF_f,config_0,5,disagreement,42,False,True,False,capymoa_sleade,0.7809,0.756,-1,99000,156.8,,capymoa,capymoa,,,,,,,
RBF_f,config_0,1,disagreement,42,False,True,False,capymoa_sleade,0.718,0.6871,-1,99000,150.2,,capymoa,capymoa,,,,,,,
RBF_f,config_1,5,disagreement,42,False,False,False,margin,0.7795,0.7581,3,99000,265.6,,margin,none,,,,,,,
RBF_f,config_1,1,disagreement,42,False,False,False,margin,0.7541,0.7301,3,99000,219.3,,margin,none,,,,,,,
