instance,rolling_acc,active_real_acc,active_pred_acc,active_real_div,active_pred_div,pool_real_acc,pool_real_div,K,lambda,drift_count,n_swapped,mean_margin,mean_A_inst,mean_C,mean_w,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
500,0.89,0.7647999999999999,0.7681989479308197,0.24879080459770117,0.2394310344827586,0.7541428571428571,0.2406666666666667,18,0.95,0,0,0.8202163703376514,0.7710290787486288,0.7715584025072075,0.7660731148069745,0,0,,,,,0
1000,0.94,0.7565666666666666,0.7193065423098127,0.27501839080459767,0.2540737777777776,0.7406285714285713,0.2779287784679089,18,0.95,0,0,0.7922809502426272,0.886183572571284,0.7980340539969241,0.7478295704425406,0,0,,,,,0
1500,0.93,0.7563333333333335,0.7429503991939105,0.28031724137931036,0.27768344766283515,0.7398285714285714,0.28370517598343686,18,0.95,0,0,0.7517373601162122,0.8016833293197608,0.7134986267245986,0.7151758094131326,413,199,0.25812102859371217,0.9514712337907791,0.008172322133505754,0.8349562100560621,24251
2000,0.94,0.7588333333333335,0.6579685156489314,0.28042528735632183,0.3093853458930267,0.7420000000000001,0.28478095238095236,18,0.95,0,0,0.7264252718792682,0.6799691863096622,0.6482135554621533,0.6223621082401886,792,382,0.2870837113312384,0.9491383604792678,0.01889599074939105,0.8393589684642766,46308
2500,0.95,0.7606333333333336,0.8550858289417985,0.27912873563218393,0.31221204665889335,0.7436285714285714,0.2839544513457557,18,0.95,0,0,0.7901943739702003,0.8815839171275569,0.8030930060056082,0.8250689088579966,1020,507,0.28771459697778157,0.9498574323431828,0.021485907068596412,0.8441261744203356,68325
3000,0.92,0.7608000000000001,0.7819203998703707,0.277351724137931,0.2888399150157901,0.7433714285714285,0.2835660455486543,18,0.95,0,0,0.7275371322477365,0.6330801696042205,0.6254318368898943,0.6952875677200123,1210,628,0.28192377511944944,0.953104275782837,0.025519196234565333,0.8475407760650088,89172
3500,0.94,0.7578000000000001,0.8045443394547469,0.279416091954023,0.26325478698941585,0.7397142857142858,0.28518592132505177,18,0.95,0,0,0.7047913515485908,0.8416019708817403,0.7091871136727724,0.7510600025733101,1463,802,0.2752869947996573,0.9549513202248587,0.02401597542691927,0.8481077971284753,110265
4000,0.94,0.7592333333333335,0.9072215355248517,0.2781218390804598,0.2373861934673166,0.7412857142857143,0.28277681159420287,18,0.95,0,0,0.802375752982224,0.8432144715265645,0.7601664166006564,0.8286552146454794,1748,972,0.266510494270642,0.9537210061671857,0.02217406506908817,0.8480326284163657,129617
4500,0.91,0.7592666666666668,0.790796528309807,0.27830344827586206,0.23273746266965722,0.7417857142857144,0.28091304347826085,18,0.95,0,0,0.817917593831051,0.863377221737603,0.7901630165300021,0.7817110017228969,1933,1103,0.26248645251695,0.9554923848277326,0.020341031127506477,0.8495874823551817,150757
5000,0.92,0.7574666666666665,0.8837319430051146,0.27965977011494253,0.242382675139738,0.7406857142857143,0.28125134575569355,18,0.95,0,0,0.8585063283452292,0.9683362929457122,0.8868749993083925,0.8832248306819456,2164,1255,0.2663453819371368,0.9559054424525154,0.01838052751963647,0.8491598754148276,173218
5500,0.95,0.7585000000000001,0.9155497800034139,0.2794505747126437,0.2429443143882828,0.7421428571428571,0.280520082815735,18,0.95,0,0,0.6192655610807101,0.9833325453423176,0.7190787087740274,0.8110096405356376,2328,1371,0.2658006647860178,0.9566060686258713,0.016793801634596456,0.849681021186868,192934
6000,0.95,0.7596333333333332,0.8529483657853384,0.2785034482758621,0.21771296942657092,0.7436714285714286,0.27913995859213253,18,0.95,0,0,0.7722661246475435,0.9,0.7974430725273717,0.8233663109194662,2471,1470,0.2638456178317909,0.9571912015415505,0.014106969440762816,0.8487430457495642,213269
6500,0.93,0.7576333333333333,0.5607947406522686,0.2806827586206897,0.20417611652495926,0.7412285714285715,0.2799552795031056,18,0.95,0,0,0.8167174038910826,0.6313282708045788,0.6858890796084512,0.5912912785086252,2711,1636,0.2603369356434468,0.9576489926733219,0.012239779108564493,0.8485392146299606,234448
7000,0.96,0.7570666666666668,0.7631835326560175,0.28051494252873566,0.20675836476422726,0.7411428571428572,0.2779221532091097,18,0.95,0,0,0.7492358488635135,0.7616369313218457,0.7042907594717931,0.7278110678283463,2959,1801,0.2572451930466598,0.9579361776511498,0.012805538765126806,0.848721221475188,254978
7500,0.89,0.7538666666666667,0.7875681335737732,0.2844643678160919,0.21622852586289842,0.7387,0.2801552795031056,18,0.95,0,0,0.6453145414465322,0.7733497044706152,0.6251760379211828,0.6964525670423163,3253,1968,0.2561067539534705,0.9584593415657763,0.011796434551083389,0.847679546781272,275181
8000,0.92,0.7563999999999999,0.8331984394095333,0.28395402298850575,0.2230358466211142,0.7424857142857144,0.27738302277432714,18,0.95,0,0,0.48491421204612556,0.7684974911598861,0.466732162598006,0.6203916671627538,3578,2164,0.2564028064848206,0.9589935800585341,0.011672992384203641,0.8470250120111913,295556
8500,0.98,0.7578999999999999,0.8768307948198116,0.28339540229885063,0.23734827517084633,0.7455857142857142,0.27492629399585916,18,0.95,0,0,0.5020996393401727,0.9383483348213296,0.5865117718428504,0.7155734177764188,3951,2377,0.25488142551946696,0.9583733398256706,0.011054078262436793,0.8463791913980634,314418
9000,0.92,0.7560333333333333,0.6774671305430828,0.2859379310344828,0.271210555967933,0.7437142857142858,0.276391718426501,18,0.95,0,0,0.5200294457594578,0.6616727783059159,0.5159302483245772,0.5858985468820618,4236,2550,0.2538882981661418,0.9577958666790418,0.010027400802383664,0.8458482711867022,337131
9500,0.92,0.7570666666666668,0.6892937412700478,0.2868183908045977,0.2790953075436151,0.7445714285714287,0.27567536231884054,18,0.95,0,0,0.8509139093803366,0.7433197283531487,0.7690451681278974,0.7102869994416815,4528,2724,0.25381828954768637,0.9575617777350256,0.008838390928904559,0.8455449937063862,357031
10000,0.93,0.7592333333333332,0.8277643472336779,0.2855793103448276,0.2831991238991123,0.7473142857142857,0.27234368530020703,18,0.95,0,0,0.7361576606292461,0.8216715130355972,0.7554440709587263,0.7852632071914702,4844,2890,0.2543186364981708,0.9571822219654031,0.007605671768680575,0.8446858445789784,377718
10500,0.94,0.7615,0.8213594569450338,0.2822551724137931,0.27426730136439736,0.7510428571428571,0.2670886128364389,18,0.95,0,0,0.8110239714446086,0.7516956281762787,0.7552207943443288,0.7813847835224671,5095,3063,0.25232441945312434,0.9573151442516927,0.008766538106459446,0.8456472801481404,398035
11000,0.92,0.7615000000000002,0.7888013843676078,0.28084367816091954,0.22271804450546784,0.7514571428571427,0.26463519668737057,18,0.95,0,0,0.802318148161007,0.760056401130695,0.7589212996293603,0.765286559115865,5333,3230,0.25180235864864464,0.957778926480099,0.008690131537842398,0.8456570665151962,417130
11500,0.94,0.7632999999999998,0.83120592758149,0.28065057471264365,0.21253826112717755,0.7530857142857142,0.26329855072463765,18,0.95,0,0,0.654920092611295,0.846757661334009,0.6693741775316938,0.737835514504847,5578,3392,0.2517837283741747,0.9582341036862014,0.008577510718082187,0.8457364667825468,439086
12000,0.9,0.7651,0.7305201867533931,0.27925747126436784,0.22890727705343672,0.7550714285714285,0.26015445134575566,18,0.95,0,0,0.5932447160532384,0.6933069919217374,0.5472219810442293,0.6197800542890981,5799,3543,0.2514206265095495,0.958236329404912,0.008233222654895796,0.8447905383151878,458646
12500,0.97,0.7657000000000002,0.84873449865494,0.2783701149425288,0.24314396765902702,0.7565142857142858,0.2567503105590062,18,0.95,0,0,0.6928148104840626,0.8883128434416295,0.7222281676319934,0.7748305222795271,6154,3733,0.25126594352592635,0.9577609824587519,0.007597513043649737,0.8444720839515822,481012
13000,0.91,0.7656333333333334,0.8507195544672911,0.278383908045977,0.2506800194873987,0.7580285714285713,0.25412091097308487,18,0.95,0,0,0.8336217679092816,0.8781728942198141,0.8288389346257655,0.8378002766606284,6425,3906,0.25044000879986195,0.9579136963525442,0.007550616126482394,0.8448955856018051,500026
13500,0.88,0.7667333333333334,0.950328728454549,0.2757103448275862,0.23621709752940645,0.759142857142857,0.25088861283643893,18,0.95,0,0,0.8144267130957276,0.9683385245302946,0.8393919298195907,0.8917500630137748,6655,4062,0.24802637674975722,0.9578760837626007,0.008187913313347964,0.8453242231597399,520005
14000,0.93,0.7653000000000001,0.6857995727596661,0.27699540229885056,0.22233502519942372,0.7582857142857142,0.24985010351966871,18,0.95,0,0,0.6824899361510234,0.6368929403770296,0.5985305683014345,0.6343299928548317,6905,4232,0.2467297639640693,0.9579074516314953,0.008245411616950714,0.8459206653601016,541735
14500,0.93,0.764,0.7671167019422538,0.27813793103448275,0.24572494486326324,0.7571000000000001,0.24847908902691512,18,0.95,0,0,0.7762863837504296,0.8334099337573656,0.7752497699207644,0.7595862821835502,7262,4442,0.24694211297107538,0.9577094184011349,0.007947080187027174,0.846085431373179,566533
15000,0.96,0.7636666666666669,0.7841547953308176,0.27780689655172414,0.3024050292412551,0.7571285714285715,0.2465776397515528,18,0.95,0,0,0.7530196196948344,0.803293413332696,0.753909970128418,0.7608861392936493,7572,4626,0.24692370401504607,0.9573919949956453,0.007797042348417439,0.846001178814533,590603
15500,0.96,0.7656666666666667,0.7620228856412733,0.2753701149425287,0.3057058394040585,0.7594714285714287,0.2420194616977226,16,0.95,0,0,0.6034071659941627,0.722955548508266,0.5940754978722179,0.6612340886793334,7859,4806,0.24532670671396628,0.9573280928830018,0.008151316545011089,0.8460268178591192,612360
