instance,rolling_acc,active_real_acc,active_pred_acc,active_real_div,active_pred_div,pool_real_acc,pool_real_div,K,lambda,drift_count,n_swapped,mean_margin,mean_A_inst,mean_C,mean_w,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
500,0.91,0.7647999999999999,0.7681989479308197,0.24879080459770117,0.2394310344827586,0.7541428571428571,0.2406666666666667,20,0.5,0,0,0.8202163703376514,0.7710290787486288,0.7715584025072075,0.7660731148069745,0,0,,,,,0
1000,0.94,0.7565666666666666,0.7178747579354435,0.27501839080459767,0.2540737777777776,0.7406285714285713,0.2779287784679089,20,0.5,0,0,0.7922809502426272,0.8962088487536212,0.7977736310798237,0.7472809605050976,0,0,,,,,0
1500,0.93,0.7562333333333332,0.7163883116251293,0.28046206896551723,0.27779112582375454,0.7397285714285715,0.28409399585921324,20,0.5,0,0,0.7550032457393321,0.7617679164500653,0.6977213174773482,0.6926294493914039,0,0,,,,,0
2000,0.93,0.7584666666666667,0.7317945251065153,0.2810068965517242,0.31084542423785433,0.7415142857142858,0.2861846790890269,20,0.5,0,0,0.7723615169383657,0.8332157528927673,0.7547235690869151,0.7259958057828976,0,0,,,,,0
2500,0.95,0.7600333333333334,0.7315093774375121,0.28020459770114947,0.3113229565696979,0.7423428571428571,0.28676770186335404,20,0.5,0,0,0.7480959715783558,0.7501579625992824,0.7229224630045687,0.7157557612858472,0,0,,,,,0
3000,0.91,0.7599333333333333,0.7843993469711796,0.2798942528735633,0.29975816295908764,0.7411428571428572,0.2882277432712215,20,0.5,0,0,0.826206874676048,0.6017118673085389,0.6591890289216836,0.7132979938993309,0,0,,,,,0
3500,0.95,0.7567999999999999,0.7245326165578552,0.28342988505747124,0.2932847645237011,0.7375714285714285,0.29163229813664593,20,0.5,0,0,0.7078828194723635,0.7499900382823509,0.6585619304907289,0.6765696287771473,0,0,,,,,0
4000,0.92,0.7576666666666667,0.8212563123876727,0.28356321839080456,0.2839394362177441,0.7380285714285715,0.2917167701863354,20,0.5,0,0,0.8211773918602343,0.8150113202784601,0.7766480989290635,0.7931987707422191,0,0,,,,,0
4500,0.92,0.7569666666666667,0.7745874586762521,0.28546896551724144,0.2842436299839538,0.7372428571428571,0.2929453416149068,20,0.5,0,0,0.8182398075342124,0.8300283618284825,0.7724902844686296,0.7610544623493883,0,0,,,,,0
5000,0.91,0.7545999999999997,0.8305054168790449,0.2883632183908046,0.2982426052184509,0.7354142857142857,0.29593167701863354,20,0.5,0,0,0.7654440649251629,0.8799700710934923,0.7335607416907283,0.7703495277139499,0,0,,,,,0
5500,0.94,0.755,0.8114129547104495,0.28935172413793103,0.29646892251222234,0.7358000000000001,0.2975146997929607,20,0.5,0,0,0.5255940144193098,0.9533849905868264,0.6315957650704063,0.7130486547522082,0,0,,,,,0
6000,0.94,0.7556666666666666,0.8031294128522646,0.28967356321839083,0.2748459182113152,0.7362571428571428,0.2986194616977226,20,0.5,0,0,0.8004955232374613,0.8416634717377753,0.7857887595618853,0.7900352476253485,0,0,,,,,0
6500,0.92,0.7537,0.4858515110926353,0.2918781609195402,0.2630446520230577,0.7335285714285715,0.30174534161490685,20,0.5,0,0,0.7084437867929538,0.5601708489857258,0.5884147386302446,0.5001165519292211,0,0,,,,,0
7000,0.98,0.7525999999999999,0.79948374078217,0.2927540229885057,0.26313427333005834,0.7323285714285714,0.3029850931677019,20,0.5,0,0,0.7942772820459598,0.7499041971100356,0.7251145663318906,0.7551168788367171,0,0,,,,,0
