dataset,config,label_pct,diversity_measure,seed,inference_mode,training_mode,use_mmr,use_pseudo_label,unsup_drift,inference_relevance,global_acc,f1_score,drift_count,total_instances,elapsed_s,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
Electricity,config_6,1,disagreement,42,none,disagree_c,False,True,False,none,0.7445,0.478,0,44312,114.1,14159,9968,0.3463523796344788,0.9558608999759438,-0.0044421830408217,0.8242652985112617,1166252
Electricity,config_6,5,disagreement,44,none,disagree_c,False,True,False,none,0.7839,0.5152,0,44312,135.2,12383,8587,0.3617358080395153,0.9594410579577296,-0.0064382392199888,0.8246591534658857,1155046
Electricity,config_6,1,disagreement,43,none,disagree_c,False,True,False,none,0.7481,0.4799,0,44312,112.2,11625,8272,0.3169811407380161,0.9568023730071572,-0.0157234684368903,0.8108127936606504,1054687
Electricity,config_6,1,disagreement,44,none,disagree_c,False,True,False,none,0.7484,0.4819,0,44312,129.2,11351,8255,0.3492023276568525,0.9581230880464146,0.0012072692246342,0.8104986589894044,1116501
Electricity,config_7,5,disagreement,42,none,train_C,False,True,False,none,0.7809,0.5114,0,44312,150.8,942032,42093,0.0,0.0,,,1065860
Electricity,config_7,5,disagreement,43,none,train_C,False,True,False,none,0.7798,0.5105,0,44312,147.4,926047,42095,0.0,0.0,,,1086222
Electricity,config_7,1,disagreement,42,none,train_C,False,True,False,none,0.7519,0.4821,0,44312,118.8,1000230,43868,0.0,0.0,,,675991
Electricity,config_7,5,disagreement,44,none,train_C,False,True,False,none,0.7839,0.5139,0,44312,151.1,936616,42096,0.0,0.0,,,964742
Electricity,config_7,1,disagreement,43,none,train_C,False,True,False,none,0.7465,0.4783,0,44312,118.9,989390,43868,0.0,0.0,,,701367
Electricity,config_7,1,disagreement,44,none,train_C,False,True,False,none,0.7521,0.4859,0,44312,133.2,971005,43868,0.0,0.0,,,620700
Electricity,config_8,5,disagreement,42,none,train_w,False,True,False,none,0.7877,0.5169,0,44312,137.8,39224,18092,0.3288906802943188,0.9684086170708942,0.0606666268653423,0.8998462637980951,1339710
