config,dataset,label_pct,lambda_tag,center,correct_fraction,disagreement_all,disagreement_correct,drifts
config_12,AGR_a,5,w0.50,47500.0,0.5789333333333333,0.471048275862069,0.46051426199768386,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,48500.0,0.5875666666666667,0.46836091954022985,0.4567695270063685,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,49500.0,0.5871666666666666,0.4712068965517242,0.4580921728895572,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,50500.0,0.6012333333333333,0.45962528735632185,0.44481238240245596,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,51500.0,0.6025666666666667,0.4626367816091954,0.44498965280228864,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,52500.0,0.7269,0.3724344827586207,0.32666953660123216,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,53500.0,0.766,0.3384597701149425,0.28802513915907474,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,54500.0,0.7702666666666667,0.32118620689655175,0.27501298226297854,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,55500.0,0.7794333333333333,0.3232896551724138,0.26234556333678155,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,56500.0,0.7885,0.3012436781609195,0.2526233597739633,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,57500.0,0.7934333333333333,0.29486666666666667,0.24720345895163875,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,58500.0,0.7811666666666667,0.31894022988505744,0.2570429858229983,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,59500.0,0.7753333333333333,0.3083448275862069,0.25741355267297056,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,60500.0,0.5129666666666667,0.3587103448275862,0.3287289296518078,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,61500.0,0.5218666666666667,0.442583908045977,0.4371579961759082,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,62500.0,0.5889,0.449183908045977,0.43933149286318257,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,63500.0,0.6138333333333333,0.4148712643678161,0.40313801666449817,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,64500.0,0.6088,0.4388735632183909,0.424297202033382,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,65500.0,0.6363666666666666,0.41367586206896556,0.3937790414514705,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,66500.0,0.6437,0.4048942528735633,0.38858785068639456,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,67500.0,0.6365333333333333,0.3948137931034483,0.3818575960632395,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,68500.0,0.6431,0.39825057471264363,0.38048655561826555,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,69500.0,0.6471666666666667,0.39860919540229883,0.37810737090647784,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,70500.0,0.6351,0.4265724137931035,0.4008963861593884,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,71500.0,0.6523333333333333,0.41485057471264364,0.3908196966956881,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,72500.0,0.6617333333333333,0.39145287356321834,0.373905995175445,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,73500.0,0.6572,0.39097931034482764,0.3725784688614049,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,74500.0,0.6731666666666667,0.3850275862068966,0.36686720648160553,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,75500.0,0.6621333333333334,0.3873057471264368,0.3719207562724191,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,76500.0,0.6747666666666666,0.3808436781609195,0.36239559067824767,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,77500.0,0.6566,0.40013793103448275,0.3757355469281085,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,78500.0,0.6663,0.390232183908046,0.36618430951625885,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,79500.0,0.6646,0.3974804597701149,0.376483806976595,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,80500.0,0.5430666666666667,0.39272643678160923,0.3831911468279227,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,81500.0,0.5496666666666666,0.4210712643678161,0.41420000406719,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,82500.0,0.5557333333333333,0.4269931034482759,0.42213510173100566,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,83500.0,0.5565,0.41145977011494256,0.4069714061015172,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,84500.0,0.5701666666666667,0.41118390804597704,0.40132290182230906,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,85500.0,0.5734666666666667,0.43377931034482764,0.4283631850739147,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,86500.0,0.5840666666666666,0.4090390804597701,0.4035180644809604,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,87500.0,0.5761,0.4292390804597701,0.42269359721197614,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,88500.0,0.5746,0.43944827586206897,0.43457366992505064,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,89500.0,0.5866333333333333,0.4381862068965517,0.43222403052289216,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,90500.0,0.5741666666666667,0.4518183908045977,0.44377547329231914,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,91500.0,0.58,0.4543356321839081,0.4481624164397128,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,92500.0,0.5878333333333333,0.45761149425287356,0.4475935637129667,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,93500.0,0.5869666666666666,0.4554505747126436,0.4451162539194984,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,94500.0,0.5988666666666667,0.43708045977011495,0.43069576649218455,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,95500.0,0.5964333333333334,0.4442367816091954,0.4367712848606189,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,96500.0,0.6117,0.413064367816092,0.4077590213789661,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,97500.0,0.6055,0.41264597701149425,0.40809501733451586,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,98500.0,0.5945,0.424967816091954,0.41946765797914276,20000;40000;60000;80000
config_12,AGR_a,5,w0.50,99500.0,0.6077333333333333,0.42414712643678165,0.41761334479873563,20000;40000;60000;80000
config_12,AGR_a,5,w0.75,1500.0,0.7643666666666666,0.28837931034482756,0.25618177605948617,20000;40000;60000;80000
config_12,AGR_a,5,w0.75,2500.0,0.7645666666666666,0.29922988505747133,0.26078328922184335,20000;40000;60000;80000
config_12,AGR_a,5,w0.75,3500.0,0.7681,0.2898735632183908,0.2557488084522422,20000;40000;60000;80000
config_12,AGR_a,5,w0.75,4500.0,0.7631,0.2736528735632184,0.24770723748205953,20000;40000;60000;80000
config_12,AGR_a,5,w0.75,5500.0,0.7888333333333334,0.245832183908046,0.22665956903277473,20000;40000;60000;80000
config_12,AGR_a,5,w0.75,6500.0,0.7763,0.254816091954023,0.2329014022134992,20000;40000;60000;80000
config_12,AGR_a,5,w0.75,7500.0,0.7590333333333333,0.28945977011494256,0.2610570499434927,20000;40000;60000;80000
config_12,AGR_a,5,w0.75,8500.0,0.7776666666666666,0.2738942528735632,0.2487118218382351,20000;40000;60000;80000
config_12,AGR_a,5,w0.75,9500.0,0.77,0.25817471264367814,0.23545687005240368,20000;40000;60000;80000
