signal,dataset,label_pct,member,signal_mean,real_accuracy
margin,AGR_g,5,4,0.6676686107925844,0.6319
margin,AGR_g,5,5,0.74145255231111,0.7257333333333333
margin,AGR_g,5,6,0.7500631385069595,0.7419666666666667
margin,AGR_g,5,7,0.781064056406108,0.7213666666666667
margin,AGR_g,5,8,0.7867786454603232,0.7400333333333333
margin,AGR_g,5,9,0.7502763770398219,0.7097666666666667
margin,AGR_g,5,10,0.7344682236514508,0.7257333333333333
margin,AGR_g,5,11,0.6382724545743991,0.6308666666666667
margin,AGR_g,5,12,0.7475993223808007,0.7002
margin,AGR_g,5,13,0.6811195379435793,0.6582
margin,AGR_g,5,14,0.6808943726570731,0.6797666666666666
margin,AGR_g,5,15,0.7732642460833294,0.7288666666666667
margin,AGR_g,5,16,0.619693741114098,0.6268666666666667
margin,AGR_g,5,17,0.6719914158614347,0.6833333333333333
margin,AGR_g,5,18,0.6617856918196866,0.6820333333333334
margin,AGR_g,5,19,0.6445042420618148,0.6339666666666667
margin,AGR_g,5,20,0.6762848299717676,0.6401333333333333
margin,AGR_g,5,21,0.6443775977782672,0.6216
margin,AGR_g,5,22,0.7212472190182928,0.6892666666666667
margin,AGR_g,5,23,0.7234782419813176,0.7093333333333334
margin,AGR_g,5,24,0.6481051267644279,0.6558
margin,AGR_g,5,25,0.666183276459711,0.6399
margin,AGR_g,5,26,0.7208899919484645,0.7173666666666667
margin,AGR_g,5,27,0.6635313462245143,0.6672
margin,AGR_g,5,28,0.6474367009363581,0.6509666666666667
margin,AGR_g,5,29,0.6426729680179946,0.6283666666666666
binary_relevance,AGR_g,5,0,0.6090691992516095,0.6283
binary_relevance,AGR_g,5,1,0.6149852148609917,0.6277
binary_relevance,AGR_g,5,2,0.6990123701945417,0.70585
binary_relevance,AGR_g,5,3,0.7149952684974895,0.72075
binary_relevance,AGR_g,5,4,0.5843475755446663,0.6209
binary_relevance,AGR_g,5,5,0.6662113015983032,0.6857
binary_relevance,AGR_g,5,6,0.7313853372094128,0.719
binary_relevance,AGR_g,5,7,0.767751665614526,0.7256
binary_relevance,AGR_g,5,8,0.7832883126326691,0.7814
binary_relevance,AGR_g,5,9,0.6874563871560933,0.6894
binary_relevance,AGR_g,5,10,0.7210182253814967,0.7272
binary_relevance,AGR_g,5,11,0.59166969601545,0.6376
binary_relevance,AGR_g,5,12,0.6783644227250365,0.685
binary_relevance,AGR_g,5,13,0.5943590274603946,0.6312
binary_relevance,AGR_g,5,14,0.603914565443618,0.633
binary_relevance,AGR_g,5,15,0.7592194617764716,0.7615
binary_relevance,AGR_g,5,16,0.5793936457316808,0.6331
binary_relevance,AGR_g,5,17,0.6944165791037571,0.6904
binary_relevance,AGR_g,5,18,0.722610879757227,0.69395
binary_relevance,AGR_g,5,19,0.6213832464134798,0.62945
binary_relevance,AGR_g,5,20,0.632956985406137,0.63
binary_relevance,AGR_g,5,21,0.6132531887846572,0.6114
binary_relevance,AGR_g,5,22,0.6973885897693435,0.67915
binary_relevance,AGR_g,5,23,0.629025674841743,0.67945
binary_relevance,AGR_g,5,24,0.6040616054006382,0.63135
binary_relevance,AGR_g,5,25,0.5713668757854351,0.62445
binary_relevance,AGR_g,5,26,0.724494140527267,0.7314
binary_relevance,AGR_g,5,27,0.6261931251206964,0.66515
binary_relevance,AGR_g,5,28,0.5792218494322133,0.61665
binary_relevance,AGR_g,5,29,0.5741828395664194,0.6143
high_order,AGR_g,5,0,0.6443365059771575,0.6465
high_order,AGR_g,5,1,0.6524555903708562,0.6452
high_order,AGR_g,5,2,0.7441687898959964,0.744
high_order,AGR_g,5,3,0.7175505557786673,0.7231
high_order,AGR_g,5,4,0.6383129948602058,0.6472
high_order,AGR_g,5,5,0.6978023809327744,0.69945
high_order,AGR_g,5,6,0.7336385068098084,0.73635
high_order,AGR_g,5,7,0.7297714560028166,0.7191
high_order,AGR_g,5,8,0.7809962326874956,0.7899
high_order,AGR_g,5,9,0.7055560051005334,0.70775
high_order,AGR_g,5,10,0.730276234972477,0.73915
high_order,AGR_g,5,11,0.6684049641883001,0.68555
high_order,AGR_g,5,12,0.7074011731227859,0.70415
high_order,AGR_g,5,13,0.6313957737534307,0.63695
high_order,AGR_g,5,14,0.6368937641253695,0.6438
high_order,AGR_g,5,15,0.744351293609105,0.7431
high_order,AGR_g,5,16,0.6337891902603209,0.63765
high_order,AGR_g,5,17,0.6889772207899019,0.69415
high_order,AGR_g,5,18,0.6946255077809096,0.70065
high_order,AGR_g,5,19,0.6514839292034507,0.664
high_order,AGR_g,5,20,0.6277075183795765,0.63975
high_order,AGR_g,5,21,0.6297916962906718,0.62885
high_order,AGR_g,5,22,0.7300832834351808,0.7326
high_order,AGR_g,5,23,0.6819040429007261,0.68485
high_order,AGR_g,5,24,0.64365282944059,0.6472
high_order,AGR_g,5,25,0.6292447023253888,0.6413
high_order,AGR_g,5,26,0.7202099516512827,0.72055
high_order,AGR_g,5,27,0.6236602900831029,0.6252
high_order,AGR_g,5,28,0.6153456452662125,0.62815
high_order,AGR_g,5,29,0.6177994349700399,0.6118
margin,CovtFD,5,0,0.7550802526532379,0.7200333333333333
margin,CovtFD,5,1,0.750260065883305,0.7091333333333333
margin,CovtFD,5,2,0.7403232195508744,0.7234
margin,CovtFD,5,3,0.7293221319937045,0.6994666666666667
margin,CovtFD,5,4,0.7428953165379469,0.7099666666666666
margin,CovtFD,5,5,0.7675654611582771,0.7176333333333333
margin,CovtFD,5,6,0.7500594456728922,0.7159
margin,CovtFD,5,7,0.7570139002149788,0.7161
margin,CovtFD,5,8,0.7329631005132151,0.7078333333333333
margin,CovtFD,5,9,0.7471159441081564,0.7261666666666666
margin,CovtFD,5,10,0.7334871087584878,0.7211333333333333
margin,CovtFD,5,11,0.7331252490992656,0.7165
margin,CovtFD,5,12,0.7517665537919571,0.7113666666666667
margin,CovtFD,5,13,0.761915498348535,0.7212
margin,CovtFD,5,14,0.7473274549741918,0.7186666666666667
margin,CovtFD,5,15,0.7425354139170988,0.7206666666666667
margin,CovtFD,5,16,0.7530412242909813,0.7068666666666666
margin,CovtFD,5,17,0.7460911850085535,0.7109
margin,CovtFD,5,18,0.7515489348413039,0.7258
margin,CovtFD,5,19,0.7467549140329167,0.7098333333333333
margin,CovtFD,5,20,0.7567233178132674,0.7200666666666666
margin,CovtFD,5,21,0.7425595477561321,0.7191
margin,CovtFD,5,22,0.7522791187842881,0.7168
margin,CovtFD,5,23,0.7426917379860213,0.7174333333333334
margin,CovtFD,5,24,0.7282842492918276,0.7048
margin,CovtFD,5,25,0.7412697502082898,0.7186333333333333
margin,CovtFD,5,26,0.756418381531034,0.7288333333333333
margin,CovtFD,5,27,0.7570123181054645,0.7123333333333334
margin,CovtFD,5,28,0.7363736706698248,0.7193333333333334
margin,CovtFD,5,29,0.7655025151542778,0.7293666666666667
binary_relevance,CovtFD,5,0,0.7073305508728583,0.72365
binary_relevance,CovtFD,5,1,0.7218031542715303,0.72895
binary_relevance,CovtFD,5,2,0.698406003747323,0.7222
binary_relevance,CovtFD,5,3,0.7172973029340531,0.7327
binary_relevance,CovtFD,5,4,0.7187205977283989,0.7344
binary_relevance,CovtFD,5,5,0.7199504173281307,0.7242
binary_relevance,CovtFD,5,6,0.706359319820331,0.72725
binary_relevance,CovtFD,5,7,0.7056594441814763,0.72345
binary_relevance,CovtFD,5,8,0.7051739862465127,0.71475
binary_relevance,CovtFD,5,9,0.6994236230451616,0.71475
binary_relevance,CovtFD,5,10,0.7173074296320531,0.7305
binary_relevance,CovtFD,5,11,0.7144377519010681,0.7301
binary_relevance,CovtFD,5,12,0.7175484263155762,0.71515
binary_relevance,CovtFD,5,13,0.717024761090425,0.72655
binary_relevance,CovtFD,5,14,0.7275906329992162,0.7308
binary_relevance,CovtFD,5,15,0.7162333805027679,0.7228
binary_relevance,CovtFD,5,16,0.7017058142018618,0.7218
binary_relevance,CovtFD,5,17,0.7004658933480901,0.7179
binary_relevance,CovtFD,5,18,0.7217434885682531,0.73575
binary_relevance,CovtFD,5,19,0.738835378242647,0.71475
binary_relevance,CovtFD,5,20,0.7188019988655783,0.72785
binary_relevance,CovtFD,5,21,0.7320926727039261,0.7307
binary_relevance,CovtFD,5,22,0.6895494601411116,0.7164
binary_relevance,CovtFD,5,23,0.7031772912103893,0.7284
binary_relevance,CovtFD,5,24,0.7075630478583669,0.7197
binary_relevance,CovtFD,5,25,0.6882938692358994,0.71855
binary_relevance,CovtFD,5,26,0.698051766824848,0.7228
binary_relevance,CovtFD,5,27,0.7309153589082399,0.72785
binary_relevance,CovtFD,5,28,0.7014281263583717,0.706
binary_relevance,CovtFD,5,29,0.6703282300114042,0.7043
high_order,CovtFD,5,0,0.7299741430072391,0.7268
high_order,CovtFD,5,1,0.7164877228439829,0.7213
high_order,CovtFD,5,2,0.721816865044168,0.7182
high_order,CovtFD,5,3,0.7201684858999835,0.72005
high_order,CovtFD,5,4,0.7244292560853334,0.71955
high_order,CovtFD,5,5,0.7195636327345591,0.72195
high_order,CovtFD,5,6,0.7342033628780166,0.73125
high_order,CovtFD,5,7,0.7284444089169254,0.7238
high_order,CovtFD,5,8,0.7192368024757628,0.71225
high_order,CovtFD,5,9,0.720133838665222,0.72125
high_order,CovtFD,5,10,0.7150373023459792,0.71125
high_order,CovtFD,5,11,0.7280684105646754,0.72965
high_order,CovtFD,5,12,0.720679454059998,0.71555
high_order,CovtFD,5,13,0.7172312750130448,0.7208
high_order,CovtFD,5,14,0.7169825116335375,0.7167
high_order,CovtFD,5,15,0.7231848309548888,0.7294
high_order,CovtFD,5,16,0.7182391744255517,0.71475
high_order,CovtFD,5,17,0.7151880481205076,0.71715
high_order,CovtFD,5,18,0.7201456387754566,0.71145
high_order,CovtFD,5,19,0.7229407004726338,0.72295
high_order,CovtFD,5,20,0.718841003068976,0.716
high_order,CovtFD,5,21,0.726188612380276,0.7187
high_order,CovtFD,5,22,0.6967401682262229,0.69915
high_order,CovtFD,5,23,0.7291949871132034,0.72675
high_order,CovtFD,5,24,0.7177178391244835,0.7199
high_order,CovtFD,5,25,0.7162478880869867,0.71635
high_order,CovtFD,5,26,0.7232043649058709,0.7239
high_order,CovtFD,5,27,0.7154402312189166,0.72045
high_order,CovtFD,5,28,0.7281807698726006,0.72045
high_order,CovtFD,5,29,0.7142848132894178,0.7199
margin,Electricity,5,0,0.7458494299028166,0.7559
margin,Electricity,5,1,0.6083398089953533,0.6596
margin,Electricity,5,2,0.729926218751843,0.7429
margin,Electricity,5,3,0.7154164946117751,0.7555666666666667
margin,Electricity,5,4,0.7024722630677105,0.7551333333333333
margin,Electricity,5,5,0.7024845048103268,0.7563333333333333
margin,Electricity,5,6,0.7584019968773956,0.7547666666666667
margin,Electricity,5,7,0.7204604722880948,0.7498333333333334
margin,Electricity,5,8,0.7489287278531042,0.7569333333333333
margin,Electricity,5,9,0.5343685703591584,0.6838333333333333
margin,Electricity,5,10,0.582414186372934,0.682
margin,Electricity,5,11,0.5488614472799144,0.6786
margin,Electricity,5,12,0.7313733699799914,0.7640333333333333
margin,Electricity,5,13,0.7009805336039965,0.7423666666666666
margin,Electricity,5,14,0.7088630018355082,0.7581666666666667
margin,Electricity,5,15,0.760429602531561,0.7560666666666667
margin,Electricity,5,16,0.7398896793481224,0.7592666666666666
margin,Electricity,5,17,0.74688351533427,0.7521
margin,Electricity,5,18,0.5809993190205709,0.6651666666666667
margin,Electricity,5,19,0.6833534914254953,0.7474333333333333
margin,Electricity,5,20,0.7301002214645899,0.7476666666666667
margin,Electricity,5,21,0.7413255292963847,0.7450333333333333
margin,Electricity,5,22,0.6801151394060081,0.7563333333333333
margin,Electricity,5,23,0.6996323511346447,0.7556
margin,Electricity,5,24,0.5517476560466407,0.6415
margin,Electricity,5,25,0.7508683090088991,0.7501666666666666
margin,Electricity,5,26,0.7262837223730603,0.7517666666666667
margin,Electricity,5,27,0.7855934079159352,0.7555666666666667
margin,Electricity,5,28,0.7140555669010665,0.7637333333333334
margin,Electricity,5,29,0.5784164909139908,0.6853666666666667
binary_relevance,Electricity,5,0,0.7960305831473141,0.74765
binary_relevance,Electricity,5,1,0.6303988426112178,0.66765
binary_relevance,Electricity,5,2,0.7883914647061121,0.7565
binary_relevance,Electricity,5,3,0.7817043288067788,0.74945
binary_relevance,Electricity,5,4,0.7856452050477353,0.75965
binary_relevance,Electricity,5,5,0.7916803571320141,0.7162
binary_relevance,Electricity,5,6,0.8212135820481224,0.7588
binary_relevance,Electricity,5,7,0.7749418648664368,0.75705
binary_relevance,Electricity,5,8,0.7811010452214631,0.7537
binary_relevance,Electricity,5,9,0.5865023838490507,0.68805
binary_relevance,Electricity,5,10,0.7082088820181882,0.6893
binary_relevance,Electricity,5,11,0.6651770952021012,0.70785
binary_relevance,Electricity,5,12,0.8073384232359802,0.7566
binary_relevance,Electricity,5,13,0.8132399036691512,0.75715
binary_relevance,Electricity,5,14,0.8122478545412023,0.75465
binary_relevance,Electricity,5,15,0.7963219100148565,0.75505
binary_relevance,Electricity,5,16,0.8145489751896829,0.7473
binary_relevance,Electricity,5,17,0.7951472085665348,0.75665
binary_relevance,Electricity,5,18,0.642891660255151,0.68535
binary_relevance,Electricity,5,19,0.798242899825474,0.75405
binary_relevance,Electricity,5,20,0.7771985654145146,0.74775
binary_relevance,Electricity,5,21,0.8007083568445179,0.7347
binary_relevance,Electricity,5,22,0.7836347867243125,0.7547
binary_relevance,Electricity,5,23,0.7803064887488783,0.7379
binary_relevance,Electricity,5,24,0.5636604400896523,0.64165
binary_relevance,Electricity,5,25,0.807348887724479,0.75625
binary_relevance,Electricity,5,26,0.7902077869292591,0.7469
binary_relevance,Electricity,5,27,0.7927493999883328,0.7519
binary_relevance,Electricity,5,28,0.7960593402305506,0.7494
binary_relevance,Electricity,5,29,0.6162589424412008,0.6933
high_order,Electricity,5,0,0.7557365638468997,0.75185
high_order,Electricity,5,1,0.6686710727201759,0.67795
high_order,Electricity,5,2,0.7577957057398278,0.7502
high_order,Electricity,5,3,0.7600079155721702,0.7517
high_order,Electricity,5,4,0.7600115092304128,0.75735
high_order,Electricity,5,5,0.747549531309594,0.73965
high_order,Electricity,5,6,0.740404282144946,0.74635
high_order,Electricity,5,7,0.752691697037068,0.74635
high_order,Electricity,5,8,0.7607698826917644,0.7548
high_order,Electricity,5,9,0.6586181953487074,0.6937
high_order,Electricity,5,10,0.6847276732821214,0.68525
high_order,Electricity,5,11,0.6801864944463923,0.68475
high_order,Electricity,5,12,0.765986663725588,0.75865
high_order,Electricity,5,13,0.7486775083962233,0.7565
high_order,Electricity,5,14,0.747554244807153,0.74405
high_order,Electricity,5,15,0.7514503332884633,0.75655
high_order,Electricity,5,16,0.7643819919600333,0.7632
high_order,Electricity,5,17,0.7524205168136745,0.75625
high_order,Electricity,5,18,0.6813245277227951,0.6815
high_order,Electricity,5,19,0.7568171041983063,0.75575
high_order,Electricity,5,20,0.7593574382315564,0.7616
high_order,Electricity,5,21,0.765390230340435,0.7561
high_order,Electricity,5,22,0.767071655485779,0.7571
high_order,Electricity,5,23,0.7541361372877844,0.7534
high_order,Electricity,5,24,0.621962306748687,0.6387
high_order,Electricity,5,25,0.7544848026924242,0.76055
high_order,Electricity,5,26,0.7615200874765753,0.75515
high_order,Electricity,5,27,0.7647743503414909,0.7556
high_order,Electricity,5,28,0.7477491682354099,0.75415
high_order,Electricity,5,29,0.6415589524806302,0.67255
margin,LED_a,5,0,0.5272317244945915,0.544
margin,LED_a,5,1,0.46511146576549167,0.40876666666666667
margin,LED_a,5,2,0.5162992893546737,0.5033666666666666
margin,LED_a,5,3,0.5073454821943332,0.499
margin,LED_a,5,4,0.5102859862213455,0.45243333333333335
margin,LED_a,5,5,0.4344690729845703,0.44926666666666665
margin,LED_a,5,6,0.37867940454276977,0.3543
margin,LED_a,5,7,0.41232480749828393,0.43296666666666667
margin,LED_a,5,8,0.5366563028873536,0.4471333333333333
margin,LED_a,5,9,0.46205041740002345,0.48706666666666665
margin,LED_a,5,10,0.438436334646809,0.44243333333333335
margin,LED_a,5,11,0.45063796132801387,0.4799
margin,LED_a,5,12,0.5062537833029012,0.5435333333333333
margin,LED_a,5,13,0.44887396061742985,0.424
margin,LED_a,5,14,0.43069242908114447,0.39136666666666664
margin,LED_a,5,15,0.4537745779763051,0.42843333333333333
margin,LED_a,5,16,0.475367412774308,0.4741
margin,LED_a,5,17,0.4666682061793193,0.4615666666666667
margin,LED_a,5,18,0.4710323769220961,0.4073333333333333
margin,LED_a,5,19,0.483741755213629,0.40476666666666666
margin,LED_a,5,20,0.3937357164779557,0.40496666666666664
margin,LED_a,5,21,0.3887927151147431,0.4055
margin,LED_a,5,22,0.4536343369702627,0.4614666666666667
margin,LED_a,5,23,0.4812272065127021,0.48063333333333336
margin,LED_a,5,24,0.3938901485788557,0.4168
margin,LED_a,5,25,0.46365369331090234,0.44843333333333335
margin,LED_a,5,26,0.42340352528156094,0.40546666666666664
margin,LED_a,5,27,0.5549336172146723,0.5197333333333334
margin,LED_a,5,28,0.4933228443797833,0.549
margin,LED_a,5,29,0.48797860462932874,0.5270666666666667
binary_relevance,LED_a,5,0,0.3849112285788819,0.3775
binary_relevance,LED_a,5,1,0.36412619591553186,0.3833
binary_relevance,LED_a,5,2,0.38104799533421363,0.39285
binary_relevance,LED_a,5,3,0.28104662172833944,0.31485
binary_relevance,LED_a,5,4,0.39343296772840974,0.43865
binary_relevance,LED_a,5,5,0.4410588527365159,0.45095
binary_relevance,LED_a,5,6,0.3896924099227873,0.3579
binary_relevance,LED_a,5,7,0.42314743538535377,0.42955
binary_relevance,LED_a,5,8,0.5011764506115477,0.4509
binary_relevance,LED_a,5,9,0.40745183226180864,0.39685
binary_relevance,LED_a,5,10,0.43458893690222483,0.416
binary_relevance,LED_a,5,11,0.5238014443256231,0.48215
binary_relevance,LED_a,5,12,0.46592305406731466,0.46685
binary_relevance,LED_a,5,13,0.46887700829443757,0.42955
binary_relevance,LED_a,5,14,0.4957420389316198,0.3925
binary_relevance,LED_a,5,15,0.40316675658232487,0.382
binary_relevance,LED_a,5,16,0.4140753679132789,0.44115
binary_relevance,LED_a,5,17,0.4244621252382389,0.4151
binary_relevance,LED_a,5,18,0.4034295069958699,0.43265
binary_relevance,LED_a,5,19,0.43113092465616065,0.4307
binary_relevance,LED_a,5,20,0.2643789325803385,0.29685
binary_relevance,LED_a,5,21,0.39118229536570565,0.39275
binary_relevance,LED_a,5,22,0.3112108788043802,0.30295
binary_relevance,LED_a,5,23,0.4778941394833849,0.5055
binary_relevance,LED_a,5,24,0.42326942691246294,0.4212
binary_relevance,LED_a,5,25,0.40399323095780704,0.4112
binary_relevance,LED_a,5,26,0.33504344358902965,0.33915
binary_relevance,LED_a,5,27,0.4140166846823956,0.42485
binary_relevance,LED_a,5,28,0.5314242830604059,0.5661
binary_relevance,LED_a,5,29,0.43396520812499,0.4312
high_order,LED_a,5,0,0.5225701199996904,0.53515
high_order,LED_a,5,1,0.5264688258285982,0.53845
high_order,LED_a,5,2,0.45633250871488307,0.4551
high_order,LED_a,5,3,0.47788795400707595,0.4875
