estimator,dataset,label_pct,ground_truth,estimate
plain,AGR_a,5,0.33194999999999997,0.33195
plain,AGR_a,5,0.34234999999999993,0.34235
plain,AGR_a,5,0.3285499999999999,0.32855
plain,AGR_a,5,0.35395,0.35395
plain,AGR_a,5,0.3627,0.3627
plain,AGR_a,5,0.3263499999999999,0.32635
plain,AGR_a,5,0.35424999999999995,0.35425
plain,AGR_a,5,0.31999999999999984,0.32
plain,AGR_a,5,0.30994999999999995,0.30995
plain,AGR_a,5,0.34104999999999996,0.34105
plain,AGR_a,5,0.3496999999999999,0.3497
plain,AGR_a,5,0.33004999999999995,0.33005
plain,AGR_a,5,0.3496999999999999,0.3497
plain,AGR_a,5,0.34034999999999993,0.34035
plain,AGR_a,5,0.3243499999999999,0.32435
plain,AGR_a,5,0.3474499999999998,0.34745
plain,AGR_a,5,0.3365499999999999,0.33655
plain,AGR_a,5,0.3319000000000001,0.3319
plain,AGR_a,5,0.3466,0.3466
plain,AGR_a,5,0.36125000000000007,0.36125
plain,AGR_a,5,0.30974999999999997,0.30975
plain,AGR_a,5,0.34985,0.34985
plain,AGR_a,5,0.31474999999999986,0.31475
plain,AGR_a,5,0.33175,0.33175
plain,AGR_a,5,0.34934999999999994,0.34935
plain,AGR_a,5,0.30864999999999987,0.30865
plain,AGR_a,5,0.34514999999999985,0.34515
plain,AGR_a,5,0.34224999999999994,0.34225
plain,AGR_a,5,0.34840000000000004,0.3484
plain,AGR_a,5,0.30755,0.30755
plain,AGR_a,5,0.33694999999999997,0.33695
plain,AGR_a,5,0.3436999999999999,0.3437
plain,AGR_a,5,0.3344499999999999,0.33445
plain,AGR_a,5,0.33394999999999997,0.33395
plain,AGR_a,5,0.3625999999999999,0.3626
plain,AGR_a,5,0.30725,0.30725
plain,AGR_a,5,0.33479999999999976,0.3348
plain,AGR_a,5,0.33345,0.33345
plain,AGR_a,5,0.32074999999999987,0.32075
plain,AGR_a,5,0.36134999999999984,0.36135
plain,AGR_a,5,0.35614999999999986,0.35615
plain,AGR_a,5,0.32810000000000006,0.3281
plain,AGR_a,5,0.34750000000000014,0.3475
plain,AGR_a,5,0.36375,0.36375
plain,AGR_a,5,0.34119999999999995,0.3412
plain,AGR_a,5,0.2790999999999999,0.2791
plain,AGR_a,5,0.33319999999999994,0.3332
plain,AGR_a,5,0.33999999999999986,0.34
plain,AGR_a,5,0.31130000000000013,0.3113
plain,AGR_a,5,0.3147,0.3147
plain,AGR_a,5,0.32689999999999997,0.3269
plain,AGR_a,5,0.32684999999999986,0.32685
plain,AGR_a,5,0.24609999999999999,0.2461
plain,AGR_a,5,0.31889999999999996,0.3189
plain,AGR_a,5,0.32294999999999985,0.32295
plain,AGR_a,5,0.29690000000000016,0.2969
plain,AGR_a,5,0.32379999999999987,0.3238
plain,AGR_a,5,0.3203499999999999,0.32035
plain,AGR_a,5,0.24409999999999998,0.2441
plain,AGR_a,5,0.2622500000000001,0.26225
plain,AGR_a,5,0.3109000000000002,0.3109
plain,AGR_a,5,0.22310000000000008,0.2231
plain,AGR_a,5,0.3259000000000001,0.3259
plain,AGR_a,5,0.32489999999999997,0.3249
plain,AGR_a,5,0.33785,0.33785
plain,AGR_a,5,0.28374999999999995,0.28375
plain,AGR_a,5,0.33789999999999987,0.3379
plain,AGR_a,5,0.3288,0.3288
plain,AGR_a,5,0.365,0.365
plain,AGR_a,5,0.35949999999999993,0.3595
plain,AGR_a,5,0.3700999999999999,0.3701
plain,AGR_a,5,0.3554999999999999,0.3555
plain,AGR_a,5,0.382,0.382
plain,AGR_a,5,0.3486500000000001,0.34865
plain,AGR_a,5,0.3333999999999999,0.3334
plain,AGR_a,5,0.385,0.385
plain,AGR_a,5,0.35675,0.35675
plain,AGR_a,5,0.3546,0.3546
plain,AGR_a,5,0.3601,0.3601
plain,AGR_a,5,0.36934999999999996,0.36935
plain,AGR_a,5,0.3498999999999999,0.3499
plain,AGR_a,5,0.3567499999999999,0.35675
plain,AGR_a,5,0.3427,0.3427
plain,AGR_a,5,0.349,0.349
plain,AGR_a,5,0.34809999999999985,0.3481
plain,AGR_a,5,0.3617999999999999,0.3618
plain,AGR_a,5,0.35505,0.35505
plain,AGR_a,5,0.3441500000000002,0.34415
plain,AGR_a,5,0.33720000000000006,0.3372
plain,AGR_a,5,0.3427,0.3427
plain,AGR_a,5,0.34539999999999993,0.3454
plain,AGR_a,5,0.3292999999999999,0.3293
plain,AGR_a,5,0.33209999999999984,0.3321
plain,AGR_a,5,0.3477999999999999,0.3478
plain,AGR_a,5,0.32235000000000014,0.32235
plain,AGR_a,5,0.2588999999999999,0.2589
plain,AGR_a,5,0.34009999999999985,0.3401
plain,AGR_a,5,0.32604999999999995,0.32605
plain,AGR_a,5,0.33009999999999984,0.3301
plain,AGR_a,5,0.34399999999999986,0.344
plain,AGR_a,5,0.3245499999999999,0.32455
plain,AGR_a,5,0.28159999999999985,0.2816
plain,AGR_a,5,0.29674999999999985,0.29675
plain,AGR_a,5,0.31589999999999985,0.3159
plain,AGR_a,5,0.28159999999999985,0.2816
plain,AGR_a,5,0.33909999999999996,0.3391
plain,AGR_a,5,0.3443999999999998,0.3444
plain,AGR_a,5,0.31145,0.31145
plain,AGR_a,5,0.31325000000000003,0.31325
plain,AGR_a,5,0.3469,0.3469
plain,AGR_a,5,0.3655999999999999,0.3656
plain,AGR_a,5,0.3256999999999999,0.3257
plain,AGR_a,5,0.36149999999999993,0.3615
plain,AGR_a,5,0.3637,0.3637
plain,AGR_a,5,0.35275,0.35275
plain,AGR_a,5,0.3408,0.3408
plain,AGR_a,5,0.35339999999999994,0.3534
plain,AGR_a,5,0.3398499999999999,0.33985
plain,AGR_a,5,0.36439999999999995,0.3644
plain,AGR_a,5,0.3466999999999999,0.3467
plain,AGR_a,5,0.36715,0.36715
plain,AGR_a,5,0.3367,0.3367
plain,AGR_a,5,0.34184999999999977,0.34185
plain,AGR_a,5,0.35649999999999993,0.3565
plain,AGR_a,5,0.33219999999999983,0.3322
plain,AGR_a,5,0.3614999999999998,0.3615
plain,AGR_a,5,0.3645999999999999,0.3646
plain,AGR_a,5,0.33545,0.33545
plain,AGR_a,5,0.35155000000000003,0.35155
plain,AGR_a,5,0.36940000000000006,0.3694
plain,AGR_a,5,0.3688,0.3688
plain,AGR_a,5,0.32089999999999996,0.3209
plain,AGR_a,5,0.372,0.372
plain,AGR_a,5,0.37714999999999976,0.37715
plain,AGR_a,5,0.3308,0.3308
plain,AGR_a,5,0.36649999999999994,0.3665
plain,AGR_a,5,0.3495499999999999,0.34955
plain,AGR_a,5,0.3236000000000001,0.3236
plain,AGR_a,5,0.3414999999999999,0.3415
plain,AGR_a,5,0.36454999999999993,0.36455
plain,AGR_a,5,0.35209999999999986,0.3521
plain,AGR_a,5,0.35834999999999995,0.35835
plain,AGR_a,5,0.3338000000000001,0.3338
plain,AGR_a,5,0.3507,0.3507
plain,AGR_a,5,0.35540000000000005,0.3554
plain,AGR_a,5,0.3360000000000001,0.336
plain,AGR_a,5,0.35524999999999995,0.35525
plain,AGR_a,5,0.3476499999999998,0.34765
plain,AGR_a,5,0.36709999999999976,0.3671
plain,AGR_a,5,0.36040000000000005,0.3604
plain,AGR_a,5,0.33930000000000016,0.3393
plain,AGR_a,5,0.3364499999999999,0.33645
plain,AGR_a,5,0.31940000000000013,0.3194
plain,AGR_a,5,0.3217000000000001,0.3217
plain,AGR_a,5,0.3446499999999999,0.34465
plain,AGR_a,5,0.3557000000000001,0.3557
plain,AGR_a,5,0.3312999999999998,0.3313
plain,AGR_a,5,0.3618500000000001,0.36185
plain,AGR_a,5,0.3181999999999998,0.3182
plain,AGR_a,5,0.32404999999999995,0.32405
plain,AGR_a,5,0.3587,0.3587
plain,AGR_a,5,0.31899999999999995,0.319
plain,AGR_a,5,0.3556,0.3556
plain,AGR_a,5,0.3617,0.3617
plain,AGR_a,5,0.3217500000000002,0.32175
plain,AGR_a,5,0.3430500000000001,0.34305
plain,AGR_a,5,0.36129999999999995,0.3613
plain,AGR_a,5,0.3619,0.3619
plain,AGR_a,5,0.3798499999999998,0.37985
plain,AGR_a,5,0.3146,0.3146
plain,AGR_a,5,0.3719999999999999,0.372
plain,AGR_a,5,0.34214999999999995,0.34215
plain,AGR_a,5,0.2875000000000001,0.2875
plain,AGR_a,5,0.3455999999999999,0.3456
plain,AGR_a,5,0.36144999999999994,0.36145
