config,signal,dataset,label_pct,n,base_rate,spearman,pearson,roc_auc,aurc,aurc_opt,eaurc,risk_op,risk_at_05,risk_at_10,risk_at_20,cov_at_09
config_5,M,AGR_a,5,150000,0.63586,0.19755349473013925,0.19027043644462122,0.6166408401039022,0.2874675826592438,0.07623730220180419,0.21123028045743963,0.26537639693937654,0.24436396365506596,0.24436396365506596,0.24436396365506596,0.42521333333333333
config_5,M,AGR_g,5,150000,0.6708066666666667,0.2720720978211345,0.24723706125482936,0.6620861889493741,0.2245436332447841,0.061357463886742014,0.1631861693580421,0.19850291816584897,0.16507554945054947,0.16507554945054947,0.16507554945054947,0.4703866666666667
config_5,M,Electricity,5,150000,0.70178,0.30284995647224894,0.33545918497211535,0.6909228933234252,0.19638450082931067,0.04969491906968582,0.14668958175962485,0.1655948748918969,0.1491763935856878,0.1491763935856878,0.15800000000000003,0.31154
config_5,M,LED_a,5,150000,0.45146,0.27832601500794996,0.27027318683886914,0.6614269778813819,0.4501331893927116,0.1895080813526876,0.260625108040024,0.4523837946949056,0.4865333333333334,0.4529333333333333,0.39646666666666663,0.10036666666666667
config_5,M,LED_g,5,150000,0.4007733333333333,0.26877547390953765,0.2611844380180833,0.6582836235841418,0.5038025978272987,0.232775856158618,0.27102674166868074,0.497171765536111,0.5408,0.5008666666666667,0.4437333333333333,0.10874
config_5,M,RBF_f,5,150000,0.6369533333333334,0.3059927899932189,0.3441594146643767,0.6836346560236415,0.2773064895874568,0.07574320559304931,0.20156328399440748,0.23156980576136293,0.3773418026855351,0.3563333428361893,0.25460000000000005,0.3389933333333333
config_5,M,RBF_m,5,150000,0.67074,0.29837960209439135,0.3546483811499937,0.6830953285235066,0.24652744513313393,0.06138408548699287,0.18514335964614106,0.20956170518595943,0.29454354669464844,0.29454354669464844,0.2503666666666666,0.4582733333333333
config_5,M,airlines,5,150000,0.60042,0.06374260355797307,0.06810305081822927,0.5369962841324559,0.3745473536171378,0.09329022594413594,0.28125712767300187,0.3640926464521433,0.36285163959765054,0.36285163959765054,0.36285163959765054,0.36013333333333336
config_5,M,AGR_a,1,150000,0.56854,0.15121734805384682,0.14213951266147057,0.586965009900414,0.3667172712740269,0.11041478169605318,0.25630248957797375,0.3473405750568069,0.31966947504860665,0.31966947504860665,0.31966947504860665,0.38160666666666665
config_5,M,AGR_g,1,150000,0.62016,0.17843224093711485,0.15863990138999937,0.6038299062148642,0.30374855322056876,0.08354133833057481,0.22020721488999395,0.2859827407195536,0.2498588203220844,0.2498588203220844,0.2498588203220844,0.43312
config_5,M,Electricity,1,150000,0.65168,0.27307772016322024,0.31260180699456547,0.6649542641486762,0.251981505679847,0.06926955844973964,0.18271194723010736,0.23182531186077912,0.20367365004426086,0.20367365004426086,0.21709999999999996,0.37787333333333334
config_5,M,LED_a,1,150000,0.3464333333333333,0.22835904525150552,0.22060096241660282,0.6385076337249115,0.5686495161439342,0.28632485706574445,0.28232465907818977,0.5399828329108767,0.5831999999999999,0.5348666666666666,0.5011666666666666,0.09970666666666667
config_5,M,LED_g,1,150000,0.29262,0.18812923218316188,0.18437473101469956,0.6193188416116358,0.6404551148257372,0.3477850056378008,0.29267010918793646,0.6061115187006921,0.6578068982568921,0.6142000000000001,0.5870333333333333,0.11256
config_5,M,RBF_f,1,150000,0.5826933333333333,0.2665064665592263,0.2926657556201676,0.655965134089666,0.34136471792405154,0.1025973502139167,0.23876736771013485,0.29819983473494366,0.43885345302779744,0.4259600004614188,0.32253333333333334,0.2971066666666667
config_5,M,RBF_m,1,150000,0.5988333333333333,0.27449582844704484,0.30861935896863524,0.6615365404109986,0.31999082279493574,0.09410172396327549,0.22588909883166025,0.2790736451067133,0.37249497559575084,0.37249497559575084,0.3147333333333333,0.36155333333333334
config_5,M,airlines,1,150000,0.5530933333333333,0.04686438297679702,0.05086019167982621,0.5270729944329811,0.42557856918438997,0.11934902302795403,0.30622954615643594,0.4091985529075463,0.4085795524786747,0.4085795524786747,0.4095,0.20027333333333333
config_6,c,AGR_a,5,150000,0.7251266666666667,0.28863613893778567,0.2894055906262444,0.6857833855821244,0.15540085173564613,0.041811149646356766,0.11358970208928937,0.03611546536125599,0.019229011759618334,0.031827022275043027,0.0737788195951526,0.0848
