dataset,seed,label_pct,detector,delta,DA,MTD,FA,TP,FN,precision,recall,F1,best_delta,score
LED_a,42,5,meta_acc_br_5,0.01,1.0,2271.0,28,4,0,0.125,1.0,0.2222222222222222,0.01,0.8344655029430207
LED_a,42,5,meta_dis_mlhat_5,0.0001,0.75,2783.0,41,3,1,0.06818181818181818,0.75,0.125,0.0001,0.6333098363640041
LED_a,42,5,meta_dis_br_5,0.001,0.5,2527.0,8,2,2,0.2,0.5,0.28571428571428575,0.001,0.6686953619612047
LED_a,42,1,sup_1,0.3,0.5,6300.0,3,2,2,0.4,0.5,0.4444444444444445,0.3,0.5727189061267421
LED_a,42,1,plain_dis_1,0.001,0.75,3732.3333333333335,30,3,1,0.09090909090909091,0.75,0.16216216216216214,0.001,0.6541237686846416
LED_a,42,1,studd_mlhat_1,0.0001,0.75,1695.0,26,3,1,0.10344827586206896,0.75,0.18181818181818182,0.0001,0.7368713970751835
LED_a,42,1,studd_br_1,0.001,0.5,2287.0,36,2,2,0.05263157894736842,0.5,0.09523809523809525,0.001,0.5470375614393495
LED_a,42,1,meta_acc_mlhat_1,0.0001,0.75,4265.666666666667,32,3,1,0.08571428571428572,0.75,0.15384615384615383,0.0001,0.6280641801007301
LED_a,42,1,meta_acc_br_1,0.001,1.0,975.0,30,4,0,0.11764705882352941,1.0,0.21052631578947367,0.001,0.8661287647403871
LED_a,42,1,meta_dis_mlhat_1,0.0001,1.0,4927.0,38,4,0,0.09523809523809523,1.0,0.17391304347826084,0.0001,0.704504136410526
LED_a,42,1,meta_dis_br_1,0.0001,1.0,991.0,27,4,0,0.12903225806451613,1.0,0.2285714285714286,0.0001,0.8794700540059467
LED_g,42,1,sup_1,0.3,0.14285714285714285,2800.0,0,1,6,1.0,0.14285714285714285,0.25,0.3,0.48582256711854693
LED_g,42,1,plain_dis_1,0.001,0.5714285714285714,2425.0,26,4,3,0.13333333333333333,0.5714285714285714,0.21621621621621623,0.001,0.5434948707877296
LED_g,42,1,studd_mlhat_1,0.0001,0.5714285714285714,2201.0,29,4,3,0.12121212121212122,0.5714285714285714,0.2,0.0001,0.5334822379572324
LED_g,42,1,studd_br_1,0.001,0.5714285714285714,1329.0,38,4,3,0.09523809523809523,0.5714285714285714,0.16326530612244897,0.001,0.5123616315813686
